date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,1,0
2020-03-01,3,0
2020-03-02,3,0
2020-03-03,3,0
2020-03-04,3,0
2020-03-05,3,0
2020-03-06,3,0
2020-03-07,6,0
2020-03-08,9,0
2020-03-09,9,0
2020-03-10,9,0
2020-03-11,9,0
2020-03-12,9,0
2020-03-13,9,0
2020-03-14,11,0
2020-03-15,11,0
2020-03-16,19,0
2020-03-17,19,0
2020-03-18,19,0
2020-03-19,28,1
2020-03-20,28,1
2020-03-21,34,1
2020-03-22,53,1
2020-03-23,53,1
2020-03-24,72,1
2020-03-25,72,1
2020-03-26,87,1
2020-03-27,93,2
2020-03-28,122,3
2020-03-29,147,3
2020-03-30,164,4
2020-03-31,190,4
2020-04-01,273,4
2020-04-02,298,5
2020-04-03,359,5
2020-04-04,400,5
2020-04-05,443,5
2020-04-06,512,5
2020-04-07,584,5
2020-04-08,641,7
2020-04-09,717,8
