date,death,positive
2021-03-07,305.0,56886.0
2021-03-06,305.0,56886.0
2021-03-05,305.0,56886.0
2021-03-04,303.0,56745.0
2021-03-03,303.0,56605.0
2021-03-02,302.0,56428.0
2021-03-01,300.0,56339.0
2021-02-28,290.0,55989.0
2021-02-27,290.0,55989.0
2021-02-26,290.0,55989.0
2021-02-25,290.0,55886.0
2021-02-24,290.0,55736.0
2021-02-23,290.0,55560.0
2021-02-22,290.0,55507.0
2021-02-21,289.0,55198.0
2021-02-20,289.0,55198.0
2021-02-19,289.0,55198.0
2021-02-18,288.0,55009.0
2021-02-17,288.0,54799.0
2021-02-16,287.0,54736.0
2021-02-15,282.0,54282.0
2021-02-14,282.0,54282.0
2021-02-13,282.0,54282.0
2021-02-12,282.0,54282.0
2021-02-11,280.0,54134.0
2021-02-10,280.0,53991.0
2021-02-09,280.0,53809.0
2021-02-08,279.0,53694.0
2021-02-07,279.0,53279.0
2021-02-06,279.0,53279.0
2021-02-05,279.0,53279.0
2021-02-04,279.0,53114.0
2021-02-03,279.0,52956.0
2021-02-02,279.0,52775.0
2021-02-01,262.0,52668.0
2021-01-31,262.0,52598.0
2021-01-30,262.0,52470.0
2021-01-29,262.0,52335.0
2021-01-28,262.0,52150.0
2021-01-27,261.0,51951.0
2021-01-26,260.0,51778.0
2021-01-25,259.0,51693.0
2021-01-24,259.0,51610.0
2021-01-23,259.0,51445.0
2021-01-22,254.0,51204.0
2021-01-21,254.0,50941.0
2021-01-20,253.0,50732.0
2021-01-19,230.0,50572.0
2021-01-18,229.0,50447.0
2021-01-17,229.0,50296.0
2021-01-16,229.0,50017.0
2021-01-15,229.0,49835.0
2021-01-14,228.0,49535.0
2021-01-13,226.0,49203.0
2021-01-12,224.0,48797.0
2021-01-11,224.0,48797.0
2021-01-10,224.0,48624.0
2021-01-09,224.0,48374.0
2021-01-08,223.0,48063.0
2021-01-07,223.0,47660.0
2021-01-06,220.0,47334.0
2021-01-05,218.0,47006.0
2021-01-04,218.0,46812.0
2021-01-03,215.0,46552.0
2021-01-02,215.0,46262.0
2021-01-01,206.0,45461.0
2020-12-31,206.0,45461.0
2020-12-30,203.0,44966.0
2020-12-29,201.0,44581.0
2020-12-28,200.0,44406.0
2020-12-27,200.0,44280.0
2020-12-26,200.0,43990.0
2020-12-25,199.0,43629.0
2020-12-24,199.0,43629.0
2020-12-23,197.0,43361.0
2020-12-22,194.0,43001.0
2020-12-21,184.0,42563.0
2020-12-20,184.0,42413.0
2020-12-19,184.0,42235.0
2020-12-18,183.0,41905.0
2020-12-17,183.0,41418.0
2020-12-16,181.0,41041.0
2020-12-15,179.0,40438.0
2020-12-14,176.0,40160.0
2020-12-13,176.0,39738.0
2020-12-12,176.0,39101.0
2020-12-11,158.0,38584.0
2020-12-10,155.0,37962.0
2020-12-09,150.0,37342.0
2020-12-08,146.0,36758.0
2020-12-07,146.0,36196.0
2020-12-06,143.0,35720.0
2020-12-05,143.0,34963.0
2020-12-04,142.0,34041.0
2020-12-03,130.0,33291.0
2020-12-02,122.0,32531.0
2020-12-01,122.0,31834.0
2020-11-30,121.0,31323.0
2020-11-29,121.0,30816.0
2020-11-28,121.0,30204.0
2020-11-27,119.0,29554.0
2020-11-26,119.0,28892.0
2020-11-25,116.0,28339.0
2020-11-24,116.0,27669.0
2020-11-23,103.0,27085.0
2020-11-22,103.0,26587.0
2020-11-21,102.0,26044.0
2020-11-20,101.0,25369.0
2020-11-19,101.0,24909.0
2020-11-18,100.0,24419.0
2020-11-17,100.0,23874.0
2020-11-16,98.0,23240.0
2020-11-15,98.0,22662.0
2020-11-14,98.0,22020.0
2020-11-13,96.0,21286.0
2020-11-12,96.0,20702.0
2020-11-11,96.0,20221.0
2020-11-10,92.0,19734.0
2020-11-09,84.0,19196.0
2020-11-08,84.0,18732.0
2020-11-07,84.0,18221.0
2020-11-06,84.0,17618.0
2020-11-05,84.0,17111.0
2020-11-04,84.0,16798.0
2020-11-03,84.0,16390.0
2020-11-02,84.0,16007.0
2020-11-01,83.0,15663.0
2020-10-31,82.0,15312.0
2020-10-30,81.0,14858.0
2020-10-29,77.0,14481.0
2020-10-28,71.0,14131.0
2020-10-27,70.0,13779.0
2020-10-26,68.0,13391.0
2020-10-25,68.0,13041.0
2020-10-24,68.0,12523.0
2020-10-23,68.0,12167.0
2020-10-22,68.0,11919.0
2020-10-21,68.0,11680.0
2020-10-20,67.0,11456.0
2020-10-19,67.0,11225.0
2020-10-18,67.0,11021.0
2020-10-17,67.0,10811.0
2020-10-16,66.0,10601.0
2020-10-15,65.0,10380.0
2020-10-14,64.0,10214.0
2020-10-13,60.0,10059.0
2020-10-12,60.0,9903.0
2020-10-11,60.0,9712.0
2020-10-10,60.0,9462.0
2020-10-09,60.0,9232.0
2020-10-08,60.0,9045.0
2020-10-07,59.0,8911.0
2020-10-06,58.0,8790.0
2020-10-05,58.0,8643.0
2020-10-04,58.0,8447.0
2020-10-03,58.0,8306.0
2020-10-02,57.0,8167.0
2020-10-01,57.0,8026.0
2020-09-30,56.0,7889.0
2020-09-29,56.0,7785.0
2020-09-28,56.0,7663.0
2020-09-27,56.0,7549.0
2020-09-26,52.0,7439.0
2020-09-25,51.0,7320.0
2020-09-24,45.0,7194.0
2020-09-23,45.0,7063.0
2020-09-22,45.0,6987.0
2020-09-21,45.0,6930.0
2020-09-20,45.0,6860.0
2020-09-19,45.0,6752.0
2020-09-18,45.0,6658.0
2020-09-17,44.0,6551.0
2020-09-16,44.0,6443.0
2020-09-15,44.0,6393.0
2020-09-14,44.0,6350.0
2020-09-13,44.0,6275.0
2020-09-12,44.0,6214.0
2020-09-11,43.0,6111.0
2020-09-10,42.0,6022.0
2020-09-09,42.0,5908.0
2020-09-08,42.0,5843.0
2020-09-07,42.0,5810.0
2020-09-06,42.0,5776.0
2020-09-05,42.0,5681.0
2020-09-04,40.0,5594.0
2020-09-03,40.0,5475.0
2020-09-02,39.0,5387.0
2020-09-01,39.0,5321.0
2020-08-31,37.0,5286.0
2020-08-30,37.0,5250.0
2020-08-29,37.0,5207.0
2020-08-28,37.0,5114.0
2020-08-27,37.0,4998.0
2020-08-26,37.0,4914.0
2020-08-25,36.0,4862.0
2020-08-24,32.0,4829.0
2020-08-23,32.0,4758.0
2020-08-22,31.0,4692.0
2020-08-21,30.0,4604.0
2020-08-20,29.0,4535.0
2020-08-19,29.0,4452.0
2020-08-18,29.0,4379.0
2020-08-17,28.0,4313.0
2020-08-16,28.0,4263.0
2020-08-15,28.0,4162.0
2020-08-14,27.0,4078.0
2020-08-13,27.0,3978.0
2020-08-12,27.0,3896.0
2020-08-11,26.0,3835.0
2020-08-10,26.0,3786.0
2020-08-09,26.0,3718.0
2020-08-08,26.0,3621.0
2020-08-07,25.0,3542.0
2020-08-06,25.0,3487.0
2020-08-05,25.0,3447.0
2020-08-04,25.0,3392.0
2020-08-03,25.0,3331.0
2020-08-02,24.0,3273.0
2020-08-01,24.0,3137.0
2020-07-31,23.0,2993.0
2020-07-30,23.0,2887.0
2020-07-29,22.0,2803.0
2020-07-28,22.0,2735.0
2020-07-27,21.0,2627.0
2020-07-26,20.0,2533.0
2020-07-25,20.0,2348.0
2020-07-24,19.0,2260.0
2020-07-23,19.0,2203.0
2020-07-22,19.0,2139.0
2020-07-21,18.0,2045.0
2020-07-20,18.0,1955.0
2020-07-19,18.0,1882.0
2020-07-18,18.0,1799.0
2020-07-17,17.0,1737.0
2020-07-16,17.0,1695.0
2020-07-15,17.0,1631.0
2020-07-14,17.0,1580.0
2020-07-13,17.0,1537.0
2020-07-12,17.0,1478.0
2020-07-11,17.0,1386.0
2020-07-10,17.0,1323.0
2020-07-09,17.0,1273.0
2020-07-08,17.0,1226.0
2020-07-07,17.0,1186.0
2020-07-06,16.0,1168.0
2020-07-05,16.0,1141.0
2020-07-04,16.0,1114.0
2020-07-03,15.0,1065.0
2020-07-02,14.0,1020.0
2020-07-01,14.0,982.0
2020-06-30,14.0,944.0
2020-06-29,14.0,908.0
2020-06-28,14.0,887.0
2020-06-27,14.0,858.0
2020-06-26,14.0,839.0
2020-06-25,12.0,821.0
2020-06-24,12.0,797.0
2020-06-23,12.0,783.0
2020-06-22,12.0,767.0
2020-06-21,12.0,761.0
2020-06-20,12.0,750.0
2020-06-19,12.0,729.0
2020-06-18,12.0,713.0
2020-06-17,12.0,701.0
2020-06-16,12.0,681.0
2020-06-15,12.0,668.0
2020-06-14,12.0,665.0
2020-06-13,12.0,656.0
2020-06-12,12.0,630.0
2020-06-11,11.0,616.0
2020-06-10,11.0,598.0
2020-06-09,11.0,578.0
2020-06-08,10.0,567.0
2020-06-07,10.0,549.0
2020-06-06,10.0,541.0
2020-06-05,10.0,529.0
2020-06-04,10.0,518.0
2020-06-03,10.0,508.0
2020-06-02,10.0,490.0
2020-06-01,10.0,470.0
2020-05-31,10.0,463.0
2020-05-30,10.0,435.0
2020-05-29,10.0,432.0
2020-05-28,10.0,427.0
2020-05-27,10.0,414.0
2020-05-26,10.0,413.0
2020-05-25,10.0,411.0
2020-05-24,10.0,410.0
2020-05-23,10.0,410.0
2020-05-22,10.0,406.0
2020-05-21,10.0,404.0
2020-05-20,10.0,404.0
2020-05-19,10.0,401.0
2020-05-18,10.0,401.0
2020-05-17,10.0,398.0
2020-05-16,10.0,394.0
2020-05-15,10.0,390.0
2020-05-14,10.0,389.0
2020-05-13,10.0,384.0
2020-05-12,10.0,383.0
2020-05-11,10.0,381.0
2020-05-10,10.0,379.0
2020-05-09,10.0,378.0
2020-05-08,10.0,377.0
2020-05-07,10.0,374.0
2020-05-06,10.0,372.0
2020-05-05,9.0,371.0
2020-05-04,9.0,370.0
2020-05-03,9.0,368.0
2020-05-02,9.0,365.0
2020-05-01,9.0,364.0
2020-04-30,9.0,355.0
2020-04-29,9.0,355.0
2020-04-28,9.0,351.0
2020-04-27,9.0,345.0
2020-04-26,9.0,341.0
2020-04-25,9.0,339.0
2020-04-24,9.0,339.0
2020-04-23,9.0,337.0
2020-04-22,9.0,335.0
2020-04-21,9.0,329.0
2020-04-20,9.0,321.0
2020-04-19,9.0,319.0
2020-04-18,9.0,314.0
2020-04-17,9.0,309.0
2020-04-16,9.0,300.0
2020-04-15,9.0,293.0
2020-04-14,9.0,285.0
2020-04-13,8.0,277.0
2020-04-12,8.0,272.0
2020-04-11,8.0,257.0
2020-04-10,7.0,246.0
2020-04-09,7.0,235.0
2020-04-08,7.0,226.0
2020-04-07,6.0,213.0
2020-04-06,6.0,191.0
2020-04-05,6.0,185.0
2020-04-04,5.0,171.0
2020-04-03,3.0,160.0
2020-04-02,3.0,149.0
2020-04-01,3.0,141.0
2020-03-31,3.0,128.0
2020-03-30,3.0,118.0
2020-03-29,2.0,110.0
2020-03-28,2.0,91.0
2020-03-27,1.0,74.0
2020-03-26,1.0,63.0
2020-03-25,1.0,49.0
2020-03-24,0.0,42.0
2020-03-23,0.0,38.0
2020-03-22,0.0,25.0
2020-03-21,0.0,15.0
2020-03-20,0.0,14.0
2020-03-19,0.0,11.0
2020-03-18,0.0,8.0
2020-03-17,0.0,3.0
2020-03-16,0.0,
2020-03-15,0.0,
2020-03-14,0.0,
2020-03-13,0.0,
2020-03-12,0.0,
2020-03-11,0.0,
2020-03-10,0.0,
2020-03-09,0.0,
2020-03-08,0.0,
2020-03-07,0.0,
2020-03-06,0.0,
