date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,2,0
2020-02-27,2,0
2020-02-28,5,0
2020-02-29,7,0
2020-03-01,10,0
2020-03-02,14,0
2020-03-03,18,0
2020-03-04,24,0
2020-03-05,29,0
2020-03-06,41,0
2020-03-07,74,0
2020-03-08,99,0
2020-03-09,102,0
2020-03-10,131,0
2020-03-11,182,0
2020-03-12,246,0
2020-03-13,361,1
2020-03-14,504,1
2020-03-15,655,1
2020-03-16,860,1
2020-03-17,1016,3
2020-03-18,1332,3
2020-03-19,1646,4
2020-03-20,2196,6
2020-03-21,2649,6
2020-03-22,3024,8
2020-03-23,3631,16
2020-03-24,4486,25
2020-03-25,5282,30
2020-03-26,5888,34
2020-03-27,7029,52
2020-03-28,7697,68
2020-03-29,8291,68
2020-03-30,8813,86
2020-03-31,9618,108
2020-04-01,10182,128
2020-04-02,10711,146
2020-04-03,11129,158
2020-04-04,11525,168
2020-04-05,11766,186
2020-04-06,11983,204
2020-04-07,12297,220
