date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,1,0
2020-01-05,1,0
2020-01-06,4,0
2020-01-07,4,0
2020-01-08,4,0
2020-01-09,4,0
2020-01-10,4,0
2020-01-11,4,0
2020-01-12,45,1
2020-01-13,45,1
2020-01-14,45,1
2020-01-15,45,1
2020-01-16,45,1
2020-01-17,49,2
2020-01-18,49,2
2020-01-19,125,3
2020-01-20,202,4
2020-01-21,295,6
2020-01-22,442,17
2020-01-23,574,18
2020-01-24,835,26
2020-01-25,1297,42
2020-01-26,1985,56
2020-01-27,2761,82
2020-01-28,4533,131
2020-01-29,5997,133
2020-01-30,7736,171
2020-01-31,9720,213
2020-02-01,11821,259
2020-02-02,14411,361
2020-02-03,17238,425
2020-02-04,20471,491
2020-02-05,24363,563
2020-02-06,28060,633
2020-02-07,31211,718
2020-02-08,34598,805
2020-02-09,37251,905
2020-02-10,40235,1012
2020-02-11,42708,1112
2020-02-12,44730,1117
2020-02-13,59882,1369
2020-02-14,63932,1521
2020-02-15,66576,1663
2020-02-16,68584,1767
2020-02-17,70635,1865
2020-02-18,72528,2004
2020-02-19,74278,2117
2020-02-20,74675,2239
2020-02-21,75568,2239
2020-02-22,76393,2444
2020-02-23,77042,2446
2020-02-24,77262,2596
2020-02-25,77779,2666
2020-02-26,78190,2718
2020-02-27,78630,2747
2020-02-28,78959,2791
2020-02-29,79389,2838
2020-03-01,79968,2873
2020-03-02,80174,2915
2020-03-03,80302,2948
2020-03-04,80422,2984
2020-03-05,80565,3016
2020-03-06,80710,3045
2020-03-07,80813,3073
2020-03-08,80859,3101
2020-03-09,80904,3124
2020-03-10,80924,3140
2020-03-11,80955,3162
2020-03-12,80980,3173
2020-03-13,80991,3181
2020-03-14,81021,3194
2020-03-15,81048,3204
2020-03-16,81077,3218
2020-03-17,81117,3231
2020-03-18,81151,3242
2020-03-19,81237,3250
2020-03-20,81300,3255
2020-03-21,81416,3261
2020-03-22,81498,3267
2020-03-23,81601,3276
2020-03-24,81747,3283
2020-03-25,81848,3287
2020-03-26,81961,3293
2020-03-27,82078,3298
2020-03-28,82213,3301
2020-03-29,82341,3306
