date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,1,0
2020-02-27,2,0
2020-02-28,3,0
2020-02-29,5,0
2020-03-01,5,0
2020-03-02,7,0
2020-03-03,8,0
2020-03-04,9,0
2020-03-05,9,0
2020-03-06,10,0
2020-03-07,11,0
2020-03-08,12,0
2020-03-09,12,0
2020-03-10,12,0
2020-03-11,13,0
2020-03-12,16,0
2020-03-13,25,0
2020-03-14,31,0
2020-03-15,37,0
2020-03-16,48,0
2020-03-17,56,0
2020-03-18,69,0
2020-03-19,81,0
2020-03-20,104,0
2020-03-21,126,0
2020-03-22,206,0
2020-03-23,235,0
2020-03-24,306,0
2020-03-25,382,1
2020-03-26,418,1
2020-03-27,495,2
2020-03-28,586,3
2020-03-29,657,5
2020-03-30,713,6
2020-03-31,790,6
2020-04-01,867,6
2020-04-02,963,6
2020-04-03,1011,7
2020-04-04,1079,8
2020-04-05,1126,12
2020-04-06,1182,15
2020-04-07,1222,16
2020-04-08,1282,18
