date,death,positive
2021-03-07,17906.0,1023487.0
2021-03-06,17905.0,1021778.0
2021-03-05,17815.0,1019509.0
2021-03-04,17750.0,1017428.0
2021-03-03,17625.0,1014542.0
2021-03-02,17480.0,1011807.0
2021-03-01,17376.0,1008660.0
2021-02-28,17295.0,1006521.0
2021-02-27,17294.0,1004187.0
2021-02-26,17219.0,1000822.0
2021-02-25,17199.0,997388.0
2021-02-24,17064.0,994061.0
2021-02-23,16927.0,990821.0
2021-02-22,16835.0,987041.0
2021-02-21,16744.0,985505.0
2021-02-20,16742.0,983747.0
2021-02-19,16610.0,980411.0
2021-02-18,16403.0,976732.0
2021-02-17,16273.0,973247.0
2021-02-16,16174.0,969702.0
2021-02-15,15928.0,966807.0
2021-02-14,15871.0,964737.0
2021-02-13,15850.0,962808.0
2021-02-12,15708.0,958985.0
2021-02-11,15513.0,955085.0
2021-02-10,15421.0,950906.0
2021-02-09,15301.0,947416.0
2021-02-08,15130.0,943695.0
2021-02-07,15092.0,940991.0
2021-02-06,15090.0,937402.0
2021-02-05,14858.0,932912.0
2021-02-04,14756.0,928070.0
2021-02-03,14587.0,922364.0
2021-02-02,14450.0,917440.0
2021-02-01,14242.0,912479.0
2021-01-31,14198.0,909445.0
2021-01-30,14196.0,905858.0
2021-01-29,13986.0,899515.0
2021-01-28,13827.0,892957.0
2021-01-27,13643.0,885605.0
2021-01-26,13482.0,879221.0
2021-01-25,13303.0,870828.0
2021-01-24,13250.0,866911.0
2021-01-23,13246.0,862158.0
2021-01-22,13060.0,853173.0
2021-01-21,12889.0,844799.0
2021-01-20,12778.0,836649.0
2021-01-19,12582.0,828444.0
2021-01-18,12360.0,820952.0
2021-01-17,12296.0,815995.0
2021-01-16,12291.0,809663.0
2021-01-15,12138.0,801130.0
2021-01-14,11975.0,791324.0
2021-01-13,11803.0,782288.0
2021-01-12,11662.0,773692.0
2021-01-11,11475.0,764499.0
2021-01-10,11458.0,757045.0
2021-01-09,11457.0,748852.0
2021-01-08,11314.0,736926.0
2021-01-07,11230.0,723630.0
2021-01-06,11165.0,713840.0
2021-01-05,11072.0,706154.0
2021-01-04,10971.0,696063.0
2021-01-03,10964.0,690900.0
2021-01-02,10960.0,685122.0
2021-01-01,10958.0,677589.0
2020-12-31,10934.0,666452.0
2020-12-30,10846.0,654743.0
2020-12-29,10779.0,645690.0
2020-12-28,10696.0,636240.0
2020-12-27,10689.0,632299.0
2020-12-26,10685.0,628788.0
2020-12-25,10631.0,624630.0
2020-12-24,10582.0,618576.0
2020-12-23,10519.0,608290.0
2020-12-22,10463.0,600517.0
2020-12-21,10399.0,591438.0
2020-12-20,10383.0,587918.0
2020-12-19,10381.0,582300.0
2020-12-18,10332.0,576537.0
2020-12-17,10294.0,568396.0
2020-12-16,10228.0,560619.0
2020-12-15,10160.0,553995.0
2020-12-14,10104.0,546558.0
2020-12-13,10076.0,542838.0
2020-12-12,10075.0,538040.0
2020-12-11,10031.0,531593.0
2020-12-10,9975.0,525402.0
2020-12-09,9921.0,517779.0
2020-12-08,9873.0,512267.0
2020-12-07,9851.0,506690.0
2020-12-06,9806.0,501405.0
2020-12-05,9793.0,499371.0
2020-12-04,9725.0,494354.0
2020-12-03,9648.0,487978.0
2020-12-02,9567.0,482139.0
2020-12-01,9515.0,476405.0
2020-11-30,9452.0,471563.0
2020-11-29,9442.0,469516.0
2020-11-28,9424.0,467564.0
2020-11-27,9380.0,464526.0
2020-11-26,9336.0,461517.0
2020-11-25,9297.0,457909.0
2020-11-24,9221.0,454732.0
2020-11-23,9215.0,451056.0
2020-11-22,9198.0,449132.0
2020-11-21,9179.0,446804.0
2020-11-20,9142.0,440595.0
2020-11-19,9102.0,437156.0
2020-11-18,9065.0,433642.0
2020-11-17,9008.0,430571.0
2020-11-16,8967.0,426236.0
2020-11-15,8957.0,424989.0
2020-11-14,8956.0,422905.0
2020-11-13,8905.0,419870.0
2020-11-12,8881.0,416876.0
2020-11-11,8806.0,413894.0
2020-11-10,8730.0,411652.0
2020-11-09,8677.0,407333.0
2020-11-08,8648.0,406061.0
2020-11-07,8647.0,404622.0
2020-11-06,8608.0,402427.0
2020-11-05,8578.0,399625.0
2020-11-04,8522.0,397281.0
