date,death,positive
2021-03-07,133.0,7749.0
2021-03-06,133.0,7749.0
2021-03-05,133.0,7748.0
2021-03-04,131.0,7747.0
2021-03-03,131.0,7745.0
2021-03-02,131.0,7742.0
2021-03-01,131.0,7737.0
2021-02-28,131.0,7736.0
2021-02-27,131.0,7735.0
2021-02-26,130.0,7734.0
2021-02-25,130.0,7730.0
2021-02-24,130.0,7729.0
2021-02-23,130.0,7727.0
2021-02-22,130.0,7727.0
2021-02-21,130.0,7720.0
2021-02-20,130.0,7716.0
2021-02-19,130.0,7715.0
2021-02-18,130.0,7705.0
2021-02-17,130.0,7703.0
2021-02-16,130.0,7701.0
2021-02-15,130.0,7699.0
2021-02-14,130.0,7695.0
2021-02-13,130.0,7692.0
2021-02-12,130.0,7689.0
2021-02-11,130.0,7686.0
2021-02-10,130.0,7683.0
2021-02-09,130.0,7673.0
2021-02-08,130.0,7664.0
2021-02-07,130.0,7649.0
2021-02-06,129.0,7643.0
2021-02-05,129.0,7636.0
2021-02-04,129.0,7622.0
2021-02-03,129.0,7618.0
2021-02-02,129.0,7610.0
2021-02-01,129.0,7608.0
2021-01-31,129.0,7587.0
2021-01-30,129.0,7586.0
2021-01-29,129.0,7579.0
2021-01-28,129.0,7572.0
2021-01-27,129.0,7568.0
2021-01-26,129.0,7566.0
2021-01-25,129.0,7554.0
2021-01-24,128.0,7547.0
2021-01-23,128.0,7547.0
2021-01-22,128.0,7547.0
2021-01-21,128.0,7528.0
2021-01-20,128.0,7521.0
2021-01-19,128.0,7515.0
2021-01-18,128.0,7485.0
2021-01-17,127.0,7484.0
2021-01-16,126.0,7481.0
2021-01-15,125.0,7474.0
2021-01-14,124.0,7457.0
2021-01-13,124.0,7444.0
2021-01-12,124.0,7423.0
2021-01-11,124.0,7423.0
2021-01-10,124.0,7412.0
2021-01-09,124.0,7404.0
2021-01-08,124.0,7399.0
2021-01-07,124.0,7386.0
2021-01-06,123.0,7378.0
2021-01-05,123.0,7357.0
2021-01-04,123.0,7344.0
2021-01-03,123.0,7327.0
2021-01-02,123.0,7326.0
2021-01-01,122.0,7326.0
2020-12-31,122.0,7317.0
2020-12-30,121.0,7308.0
2020-12-29,121.0,7293.0
2020-12-28,121.0,7281.0
2020-12-27,121.0,7270.0
2020-12-26,121.0,7269.0
2020-12-25,121.0,7268.0
2020-12-24,121.0,7266.0
2020-12-23,121.0,7257.0
2020-12-22,121.0,7238.0
2020-12-21,120.0,7211.0
2020-12-20,119.0,7202.0
2020-12-19,119.0,7198.0
2020-12-18,119.0,7193.0
2020-12-17,119.0,7183.0
2020-12-16,119.0,7168.0
2020-12-15,119.0,7149.0
2020-12-14,119.0,7137.0
2020-12-13,118.0,7106.0
2020-12-12,117.0,7090.0
2020-12-11,115.0,7079.0
2020-12-10,115.0,7052.0
2020-12-09,113.0,7039.0
2020-12-08,113.0,7026.0
2020-12-07,113.0,7019.0
2020-12-06,113.0,7004.0
2020-12-05,113.0,6977.0
2020-12-04,113.0,6959.0
2020-12-03,112.0,6942.0
2020-12-02,112.0,6920.0
2020-12-01,112.0,6889.0
2020-11-30,112.0,6852.0
2020-11-29,112.0,6818.0
2020-11-28,112.0,6782.0
2020-11-27,112.0,6768.0
2020-11-26,111.0,6748.0
2020-11-25,109.0,6705.0
2020-11-24,107.0,6655.0
2020-11-23,106.0,6602.0
2020-11-22,106.0,6549.0
2020-11-21,104.0,6476.0
2020-11-20,103.0,6452.0
2020-11-19,101.0,6416.0
2020-11-18,100.0,6346.0
2020-11-17,100.0,6234.0
2020-11-16,98.0,6175.0
2020-11-15,94.0,6121.0
2020-11-14,93.0,5965.0
2020-11-13,93.0,5924.0
2020-11-12,91.0,5850.0
2020-11-11,91.0,5755.0
2020-11-10,91.0,5654.0
2020-11-09,90.0,5473.0
2020-11-08,89.0,5233.0
2020-11-07,89.0,5113.0
2020-11-06,88.0,5077.0
2020-11-05,85.0,5004.0
2020-11-04,83.0,4903.0
2020-11-03,80.0,4812.0
2020-11-02,79.0,4693.0
2020-11-01,79.0,4690.0
2020-10-31,79.0,4681.0
2020-10-30,79.0,4628.0
2020-10-29,78.0,4549.0
2020-10-28,77.0,4466.0
2020-10-27,75.0,4418.0
2020-10-26,75.0,4336.0
2020-10-25,71.0,4216.0
2020-10-24,71.0,4175.0
2020-10-23,69.0,4141.0
2020-10-22,69.0,4056.0
2020-10-21,69.0,3968.0
2020-10-20,67.0,3886.0
2020-10-19,66.0,3756.0
2020-10-18,66.0,3675.0
2020-10-17,64.0,3617.0
2020-10-16,63.0,3538.0
2020-10-15,62.0,3427.0
2020-10-14,61.0,3341.0
2020-10-13,61.0,3266.0
2020-10-12,60.0,3170.0
2020-10-11,60.0,3078.0
2020-10-10,59.0,3056.0
2020-10-09,58.0,2989.0
2020-10-08,58.0,2934.0
2020-10-07,57.0,2868.0
2020-10-06,55.0,2814.0
2020-10-05,55.0,2753.0
2020-10-04,52.0,2699.0
2020-10-03,51.0,2699.0
2020-10-02,50.0,2617.0
2020-10-01,49.0,2550.0
