date,death,positive
2021-03-07,445.0,28699.0
2021-03-06,444.0,28646.0
2021-03-05,443.0,28561.0
2021-03-04,441.0,28466.0
2021-03-03,441.0,28407.0
2021-03-02,439.0,28390.0
2021-03-01,439.0,28355.0
2021-02-28,439.0,28326.0
2021-02-27,439.0,28270.0
2021-02-26,437.0,28166.0
2021-02-25,435.0,28088.0
2021-02-24,435.0,28050.0
2021-02-23,431.0,28000.0
2021-02-22,431.0,27953.0
2021-02-21,431.0,27904.0
2021-02-20,430.0,27837.0
2021-02-19,430.0,27778.0
2021-02-18,428.0,27717.0
2021-02-17,427.0,27652.0
2021-02-16,426.0,27623.0
2021-02-15,426.0,27606.0
2021-02-14,426.0,27573.0
2021-02-13,425.0,27527.0
2021-02-12,425.0,27460.0
2021-02-11,424.0,27370.0
2021-02-10,423.0,27279.0
2021-02-09,418.0,27226.0
2021-02-08,418.0,27195.0
2021-02-07,418.0,27163.0
2021-02-06,416.0,27088.0
2021-02-05,416.0,26981.0
2021-02-04,416.0,26852.0
2021-02-03,414.0,26746.0
2021-02-02,410.0,26672.0
2021-02-01,410.0,26608.0
2021-01-31,410.0,26518.0
2021-01-30,407.0,26436.0
2021-01-29,407.0,26321.0
2021-01-28,406.0,26169.0
2021-01-27,404.0,26070.0
2021-01-26,401.0,25967.0
2021-01-25,342.0,25903.0
2021-01-24,342.0,25782.0
2021-01-23,336.0,25631.0
2021-01-22,332.0,25498.0
2021-01-21,328.0,25329.0
2021-01-20,325.0,25210.0
2021-01-19,324.0,25136.0
2021-01-18,322.0,25072.0
2021-01-17,322.0,24943.0
2021-01-16,320.0,24813.0
2021-01-15,318.0,24584.0
2021-01-14,318.0,24434.0
2021-01-13,312.0,24259.0
2021-01-12,309.0,24153.0
2021-01-11,309.0,24039.0
2021-01-10,309.0,23867.0
2021-01-09,307.0,23669.0
2021-01-08,303.0,23421.0
2021-01-07,299.0,23113.0
2021-01-06,299.0,22792.0
2021-01-05,289.0,22650.0
2021-01-04,289.0,22527.0
