date,death,positive
2021-03-07,23014.0,1198335.0
2021-03-06,23002.0,1197267.0
2021-03-05,22946.0,1194702.0
2021-03-04,22902.0,1193260.0
2021-03-03,22853.0,1191520.0
2021-03-02,22803.0,1189416.0
2021-03-01,22759.0,1187839.0
2021-02-28,22735.0,1186696.0
2021-02-27,22710.0,1185447.0
2021-02-26,22675.0,1183667.0
2021-02-25,22607.0,1181226.0
2021-02-24,22575.0,1179342.0
2021-02-23,22528.0,1177320.0
2021-02-22,22506.0,1175655.0
2021-02-21,22466.0,1174409.0
2021-02-20,22426.0,1172824.0
2021-02-19,22368.0,1170902.0
2021-02-18,22297.0,1168683.0
2021-02-17,22224.0,1166717.0
2021-02-16,22199.0,1164922.0
2021-02-15,22166.0,1163574.0
2021-02-14,22121.0,1162154.0
2021-02-13,22087.0,1160523.0
2021-02-12,22027.0,1158431.0
2021-02-11,21985.0,1155833.0
2021-02-10,21869.0,1152995.0
2021-02-09,21802.0,1150170.0
2021-02-08,21779.0,1148088.0
2021-02-07,21738.0,1146341.0
2021-02-06,21676.0,1144281.0
2021-02-05,21603.0,1141219.0
2021-02-04,21497.0,1137559.0
2021-02-03,21420.0,1134231.0
2021-02-02,21336.0,1130917.0
2021-02-01,21273.0,1128613.0
2021-01-31,21253.0,1126301.0
2021-01-30,21213.0,1123873.0
2021-01-29,21146.0,1120528.0
2021-01-28,21074.0,1116372.0
2021-01-27,20949.0,1112181.0
2021-01-26,20853.0,1108430.0
2021-01-25,20744.0,1104763.0
2021-01-24,20680.0,1101819.0
2021-01-23,20645.0,1098527.0
2021-01-22,20534.0,1093375.0
2021-01-21,20423.0,1086333.0
2021-01-20,20285.0,1081354.0
2021-01-19,20153.0,1076532.0
2021-01-18,20118.0,1072214.0
2021-01-17,20050.0,1068829.0
2021-01-16,20020.0,1064667.0
2021-01-15,19873.0,1059324.0
2021-01-14,19724.0,1052682.0
2021-01-13,19617.0,1046030.0
2021-01-12,19497.0,1040168.0
2021-01-11,19363.0,1033526.0
2021-01-10,19293.0,1028750.0
2021-01-09,19210.0,1024039.0
2021-01-08,19108.0,1017322.0
2021-01-07,18941.0,1008045.0
2021-01-06,18735.0,999288.0
2021-01-05,18562.0,991719.0
2021-01-04,18412.0,984880.0
2021-01-03,18322.0,979821.0
2021-01-02,18217.0,975352.0
2021-01-01,18173.0,970590.0
2020-12-31,17978.0,963389.0
2020-12-30,17811.0,955380.0
2020-12-29,17596.0,948006.0
2020-12-28,17470.0,942362.0
2020-12-27,17336.0,937909.0
2020-12-26,17224.0,934142.0
2020-12-25,17154.0,930849.0
2020-12-24,16960.0,925107.0
2020-12-23,16842.0,918070.0
2020-12-22,16671.0,911308.0
2020-12-21,16527.0,905069.0
2020-12-20,16407.0,900370.0
2020-12-19,16326.0,894367.0
2020-12-18,16206.0,886805.0
2020-12-17,15985.0,879428.0
2020-12-16,15777.0,870600.0
2020-12-15,15587.0,863477.0
2020-12-14,15455.0,856118.0
2020-12-13,15339.0,848904.0
2020-12-12,15232.0,841688.0
2020-12-11,15067.0,832951.0
2020-12-10,14845.0,823531.0
2020-12-09,14613.0,812430.0
2020-12-08,14384.0,804174.0
2020-12-07,14216.0,796264.0
2020-12-06,14116.0,787573.0
2020-12-05,14017.0,779975.0
2020-12-04,13782.0,770088.0
2020-12-03,13625.0,759562.0
2020-12-02,13397.0,748603.0
2020-12-01,13131.0,738846.0
2020-11-30,12985.0,726304.0
2020-11-29,12882.0,720114.0
2020-11-28,12838.0,712936.0
2020-11-27,12686.0,705063.0
2020-11-26,12596.0,697489.0
2020-11-25,12440.0,685467.0
2020-11-24,12262.0,674089.0
2020-11-23,12112.0,664620.0
2020-11-22,12051.0,656298.0
2020-11-21,11952.0,646286.0
2020-11-20,11795.0,634395.0
2020-11-19,11648.0,621383.0
2020-11-18,11468.0,606771.0
2020-11-17,11317.0,597849.0
2020-11-16,11204.0,585248.0
2020-11-15,11162.0,573616.0
2020-11-14,11088.0,562985.0
2020-11-13,10891.0,551957.0
2020-11-12,10846.0,536542.0
2020-11-11,10798.0,523840.0
2020-11-10,10645.0,511183.0
2020-11-09,10563.0,498560.0
2020-11-08,10538.0,487987.0
2020-11-07,10488.0,477978.0
2020-11-06,10397.0,465540.0
2020-11-05,10313.0,453750.0
2020-11-04,10216.0,443815.0
2020-11-03,10161.0,436277.0
2020-11-02,10093.0,429761.0
2020-11-01,10075.0,423539.0
2020-10-31,10050.0,416559.0
2020-10-30,9994.0,408660.0
2020-10-29,9945.0,400171.0
2020-10-28,9889.0,393808.0
2020-10-27,9838.0,387698.0
2020-10-26,9792.0,383698.0
2020-10-25,9775.0,378969.0
2020-10-24,9751.0,374907.0
2020-10-23,9688.0,368746.0
2020-10-22,9647.0,363746.0
2020-10-21,9605.0,358804.0
2020-10-20,9537.0,354462.0
2020-10-19,9496.0,350748.0
2020-10-18,9474.0,347635.0
2020-10-17,9452.0,343390.0
2020-10-16,9425.0,339761.0
2020-10-15,9373.0,334658.0
2020-10-14,9320.0,330643.0
2020-10-13,9272.0,327781.0
2020-10-12,9243.0,324930.0
2020-10-11,9230.0,322188.0
2020-10-10,9221.0,319461.0
2020-10-09,9191.0,316556.0
2020-10-08,9159.0,313439.0
2020-10-07,9127.0,310380.0
2020-10-06,9085.0,307750.0
2020-10-05,9054.0,306133.0
2020-10-04,9040.0,304280.0
2020-10-03,9023.0,302827.0
2020-10-02,8992.0,300385.0
2020-10-01,8940.0,297929.0
2020-09-30,8916.0,295763.0
2020-09-29,8881.0,293490.0
2020-09-28,8858.0,292128.0
2020-09-27,8845.0,290419.0
2020-09-26,8832.0,288815.0
2020-09-25,8807.0,286374.0
2020-09-24,8774.0,283569.0
2020-09-23,8744.0,281312.0
2020-09-22,8722.0,279464.0
2020-09-21,8693.0,277933.0
2020-09-20,8686.0,276456.0
2020-09-19,8672.0,275054.0
2020-09-18,8647.0,272525.0
2020-09-17,8624.0,270302.0
2020-09-16,8599.0,268246.0
2020-09-15,8564.0,266305.0
2020-09-14,8546.0,264839.0
2020-09-13,8541.0,263466.0
2020-09-12,8527.0,262004.0
2020-09-11,8505.0,259883.0
2020-09-10,8461.0,257571.0
2020-09-09,8433.0,255618.0
2020-09-08,8405.0,254281.0
2020-09-07,8398.0,252889.0
2020-09-06,8390.0,251508.0
2020-09-05,8385.0,250105.0
2020-09-04,8362.0,247299.0
2020-09-03,8324.0,241705.0
2020-09-02,8300.0,240345.0
2020-09-01,8273.0,238217.0
2020-08-31,8235.0,236725.0
2020-08-30,8228.0,235057.0
2020-08-29,8217.0,233065.0
2020-08-28,8206.0,231185.0
2020-08-27,8186.0,228751.0
2020-08-26,8163.0,227044.0
2020-08-25,8126.0,224887.0
2020-08-24,8097.0,223207.0
2020-08-23,8089.0,221595.0
2020-08-22,8083.0,219702.0
2020-08-21,8066.0,217346.0
2020-08-20,8044.0,215053.0
2020-08-19,8017.0,213221.0
2020-08-18,7993.0,210926.0
2020-08-17,7967.0,209186.0
2020-08-16,7955.0,207413.0
2020-08-15,7937.0,205851.0
2020-08-14,7932.0,204023.0
2020-08-13,7905.0,201727.0
2020-08-12,7881.0,199893.0
2020-08-11,7866.0,198248.0
2020-08-10,7846.0,196699.0
2020-08-09,7845.0,195380.0
2020-08-08,7840.0,193998.0
2020-08-07,7822.0,191808.0
2020-08-06,7791.0,189705.0
2020-08-05,7770.0,187752.0
2020-08-04,7742.0,185993.0
2020-08-03,7723.0,184522.0
2020-08-02,7714.0,183224.0
2020-08-01,7700.0,181757.0
2020-07-31,7692.0,180118.0
2020-07-30,7670.0,178138.0
2020-07-29,7654.0,176366.0
2020-07-28,7638.0,174973.0
2020-07-27,7608.0,173897.0
2020-07-26,7590.0,172666.0
2020-07-25,7589.0,171125.0
2020-07-24,7577.0,169699.0
2020-07-23,7560.0,168100.0
2020-07-22,7540.0,166476.0
2020-07-21,7517.0,164878.0
2020-07-20,7494.0,163923.0
2020-07-19,7488.0,162750.0
2020-07-18,7483.0,161785.0
2020-07-17,7465.0,160509.0
2020-07-16,7452.0,159082.0
2020-07-15,7427.0,157825.0
2020-07-14,7419.0,156638.0
2020-07-13,7394.0,155931.0
2020-07-12,7388.0,155048.0
2020-07-11,7369.0,154094.0
2020-07-10,7345.0,152899.0
2020-07-09,7329.0,151572.0
2020-07-08,7309.0,150554.0
2020-07-07,7273.0,149574.0
2020-07-06,7236.0,148987.0
2020-07-05,7230.0,148373.0
2020-07-04,7224.0,147734.0
2020-07-03,7215.0,146872.0
2020-07-02,7188.0,145935.0
2020-07-01,7152.0,145066.0
2020-06-30,7124.0,144238.0
2020-06-29,7103.0,143514.0
2020-06-28,7089.0,142776.0
2020-06-27,7074.0,142130.0
2020-06-26,7048.0,141344.0
2020-06-25,7014.0,140434.0
2020-06-24,6974.0,139540.0
2020-06-23,6911.0,138825.0
2020-06-22,6875.0,138224.0
2020-06-21,6851.0,137762.0
2020-06-20,6829.0,137104.0
2020-06-19,6718.0,136470.0
2020-06-18,6718.0,135639.0
2020-06-17,6666.0,135046.0
2020-06-16,6579.0,134500.0
2020-06-15,6507.0,133877.0
2020-06-14,6489.0,133404.0
2020-06-13,6470.0,132732.0
2020-06-12,6441.0,132059.0
2020-06-11,6363.0,131327.0
2020-06-10,6273.0,130561.0
2020-06-09,6196.0,129936.0
2020-06-08,6102.0,129139.0
2020-06-07,5904.0,127757.0
2020-06-06,5864.0,126890.0
2020-06-05,5795.0,125915.0
2020-06-04,5736.0,124759.0
2020-06-03,5621.0,123830.0
2020-06-02,5525.0,122848.0
2020-06-01,5412.0,121234.0
2020-05-31,5390.0,120260.0
2020-05-30,5330.0,118917.0
2020-05-29,5270.0,117455.0
2020-05-28,5186.0,115833.0
2020-05-27,5083.0,114306.0
2020-05-26,4923.0,113195.0
2020-05-25,4884.0,112017.0
2020-05-24,4856.0,110304.0
2020-05-23,4790.0,107796.0
2020-05-22,4715.0,105444.0
2020-05-21,4607.0,102686.0
2020-05-20,4525.0,100418.0
2020-05-19,4379.0,98030.0
2020-05-18,4234.0,96485.0
2020-05-17,4177.0,94191.0
2020-05-16,4129.0,92457.0
2020-05-15,4058.0,90369.0
2020-05-14,3928.0,87937.0
2020-05-13,3792.0,84698.0
2020-05-12,3601.0,83021.0
2020-05-11,3459.0,79007.0
2020-05-10,3406.0,77741.0
2020-05-09,3349.0,76085.0
2020-05-08,3241.0,73760.0
2020-05-07,3111.0,70873.0
2020-05-06,2974.0,68232.0
2020-05-05,2838.0,65962.0
2020-05-04,2662.0,63840.0
2020-05-03,2618.0,61499.0
2020-05-02,2559.0,58505.0
2020-05-01,2457.0,56055.0
2020-04-30,2355.0,52918.0
2020-04-29,2215.0,50355.0
2020-04-28,2125.0,48102.0
2020-04-27,1983.0,45883.0
2020-04-26,1933.0,43903.0
2020-04-25,1874.0,41777.0
2020-04-24,1795.0,39658.0
2020-04-23,1688.0,36934.0
2020-04-22,1565.0,35108.0
2020-04-21,1468.0,33059.0
2020-04-20,1349.0,31508.0
2020-04-19,1290.0,30357.0
2020-04-18,1259.0,29160.0
2020-04-17,1134.0,27575.0
2020-04-16,1072.0,25733.0
2020-04-15,948.0,24593.0
2020-04-14,868.0,23247.0
2020-04-13,794.0,22025.0
2020-04-12,720.0,20852.0
2020-04-11,677.0,19180.0
2020-04-10,596.0,17887.0
2020-04-09,528.0,16422.0
2020-04-08,462.0,15078.0
2020-04-07,380.0,13549.0
2020-04-06,307.0,12262.0
2020-04-05,274.0,11256.0
2020-04-04,243.0,10357.0
2020-04-03,210.0,8904.0
2020-04-02,157.0,7695.0
2020-04-01,141.0,6980.0
2020-03-31,99.0,5994.0
2020-03-30,73.0,5057.0
2020-03-29,65.0,4596.0
2020-03-28,47.0,3491.0
2020-03-27,34.0,3026.0
2020-03-26,26.0,2538.0
2020-03-25,19.0,1865.0
2020-03-24,16.0,1535.0
2020-03-23,12.0,1273.0
2020-03-22,9.0,1049.0
2020-03-21,6.0,753.0
2020-03-20,5.0,585.0
2020-03-19,4.0,422.0
2020-03-18,1.0,288.0
2020-03-17,1.0,159.0
2020-03-16,,93.0
2020-03-15,,64.0
2020-03-14,,46.0
2020-03-13,,32.0
2020-03-12,,25.0
2020-03-11,,19.0
2020-03-10,,19.0
2020-03-09,,7.0
2020-03-08,,6.0
2020-03-07,,6.0
2020-03-06,,5.0
2020-03-05,,5.0
2020-03-04,,4.0
