date,death,positive
2021-03-07,4812.0,295861.0
2021-03-06,4812.0,295861.0
2021-03-05,4812.0,295861.0
2021-03-04,4816.0,295109.0
2021-03-03,4816.0,295109.0
2021-03-02,4743.0,294302.0
2021-03-01,4743.0,294302.0
2021-02-28,4735.0,293663.0
2021-02-27,4735.0,293663.0
2021-02-26,4735.0,293663.0
2021-02-25,4724.0,292837.0
2021-02-24,4724.0,292837.0
2021-02-23,4643.0,291715.0
2021-02-22,4643.0,291715.0
2021-02-21,4614.0,290832.0
2021-02-20,4614.0,290832.0
2021-02-19,4614.0,290832.0
2021-02-18,4521.0,288717.0
2021-02-17,4521.0,288717.0
2021-02-16,4406.0,287450.0
2021-02-15,4406.0,287450.0
2021-02-14,4364.0,286102.0
2021-02-13,4364.0,286102.0
2021-02-12,4364.0,286102.0
2021-02-11,4303.0,284894.0
2021-02-10,4303.0,284894.0
2021-02-09,4197.0,282960.0
2021-02-08,4197.0,282960.0
2021-02-07,4101.0,281562.0
2021-02-06,4101.0,281562.0
2021-02-05,4101.0,281562.0
2021-02-04,3895.0,278915.0
2021-02-03,3895.0,278915.0
2021-02-02,3809.0,276668.0
2021-02-01,3809.0,276668.0
2021-01-31,3779.0,274685.0
2021-01-30,3779.0,274685.0
2021-01-29,3779.0,274685.0
2021-01-28,3718.0,272517.0
2021-01-27,3718.0,272517.0
2021-01-26,3622.0,269255.0
2021-01-25,3622.0,269255.0
2021-01-24,3598.0,266653.0
2021-01-23,3598.0,266653.0
2021-01-22,3598.0,266653.0
2021-01-21,3575.0,263412.0
2021-01-20,3575.0,263412.0
2021-01-19,3525.0,259822.0
2021-01-18,3525.0,259822.0
2021-01-17,3502.0,256134.0
2021-01-16,3502.0,256134.0
2021-01-15,3502.0,256134.0
2021-01-14,3355.0,252041.0
2021-01-13,3355.0,252041.0
2021-01-12,3255.0,247502.0
2021-01-11,3255.0,247502.0
2021-01-10,3148.0,242322.0
2021-01-09,3148.0,242322.0
2021-01-08,3148.0,242322.0
2021-01-07,3027.0,236818.0
2021-01-06,3027.0,236818.0
2021-01-05,2897.0,231317.0
2021-01-04,2897.0,231317.0
2021-01-03,2879.0,227745.0
2021-01-02,2879.0,227745.0
2021-01-01,2879.0,227745.0
2020-12-31,2741.0,222433.0
2020-12-30,2741.0,222433.0
2020-12-29,2548.0,216062.0
2020-12-28,2548.0,216062.0
2020-12-27,2507.0,209689.0
2020-12-26,2507.0,209689.0
2020-12-25,2507.0,209689.0
2020-12-24,2507.0,209689.0
2020-12-23,2507.0,209689.0
2020-12-22,2448.0,204600.0
2020-12-21,2448.0,204600.0
2020-12-20,2341.0,200426.0
2020-12-19,2341.0,200426.0
2020-12-18,2341.0,200426.0
2020-12-17,2253.0,194569.0
2020-12-16,2253.0,194569.0
2020-12-15,2109.0,190018.0
2020-12-14,2109.0,190018.0
2020-12-13,2072.0,185294.0
2020-12-12,2072.0,185294.0
2020-12-11,2072.0,185294.0
2020-12-10,1941.0,179803.0
2020-12-09,1941.0,179803.0
2020-12-08,1856.0,174025.0
2020-12-07,1856.0,174025.0
2020-12-06,1786.0,168295.0
2020-12-05,1786.0,168295.0
2020-12-04,1786.0,168295.0
2020-12-03,1679.0,162061.0
2020-12-02,1679.0,162061.0
2020-12-01,1560.0,157446.0
2020-11-30,1560.0,157446.0
2020-11-29,1529.0,153021.0
2020-11-28,1529.0,153021.0
2020-11-27,1529.0,153021.0
2020-11-26,1503.0,147797.0
2020-11-25,1503.0,147797.0
2020-11-24,1456.0,142059.0
2020-11-23,1456.0,142059.0
2020-11-22,1410.0,134533.0
2020-11-21,1410.0,134533.0
2020-11-20,1410.0,134533.0
2020-11-19,1326.0,128594.0
2020-11-18,1326.0,128594.0
2020-11-17,1266.0,122741.0
2020-11-16,1266.0,122741.0
2020-11-15,1256.0,115507.0
2020-11-14,1256.0,115507.0
2020-11-13,1256.0,115507.0
2020-11-12,1215.0,109225.0
2020-11-11,1215.0,109225.0
2020-11-10,1181.0,103553.0
2020-11-09,1181.0,103553.0
2020-11-08,1166.0,97633.0
2020-11-07,1166.0,97633.0
2020-11-06,1166.0,97633.0
2020-11-05,1087.0,92215.0
2020-11-04,1087.0,92215.0
2020-11-03,1046.0,89227.0
2020-11-02,1046.0,89227.0
2020-11-01,1029.0,85181.0
2020-10-31,1029.0,85181.0
2020-10-30,1029.0,85181.0
2020-10-29,1007.0,82045.0
2020-10-28,1007.0,82045.0
2020-10-27,976.0,78676.0
2020-10-26,976.0,78676.0
2020-10-25,975.0,76230.0
2020-10-24,975.0,76230.0
2020-10-23,975.0,76230.0
2020-10-22,952.0,74456.0
2020-10-21,952.0,74456.0
2020-10-20,872.0,72968.0
2020-10-19,872.0,72968.0
2020-10-18,859.0,70855.0
2020-10-17,859.0,70855.0
2020-10-16,859.0,70855.0
2020-10-15,838.0,69155.0
2020-10-14,838.0,69155.0
2020-10-13,771.0,67862.0
2020-10-12,771.0,67862.0
2020-10-11,763.0,65807.0
2020-10-10,763.0,65807.0
2020-10-09,763.0,65807.0
2020-10-08,723.0,63952.0
2020-10-07,723.0,63952.0
2020-10-06,706.0,62708.0
2020-10-05,706.0,62708.0
2020-10-04,698.0,61111.0
2020-10-03,698.0,61111.0
2020-10-02,698.0,61111.0
2020-10-01,678.0,59749.0
2020-09-30,678.0,59749.0
2020-09-29,637.0,58629.0
2020-09-28,637.0,58629.0
2020-09-27,632.0,56592.0
2020-09-26,632.0,56592.0
2020-09-25,632.0,56592.0
2020-09-24,621.0,55226.0
2020-09-23,621.0,55226.0
2020-09-22,600.0,53959.0
2020-09-21,600.0,53959.0
2020-09-20,596.0,52285.0
2020-09-19,596.0,52285.0
2020-09-18,596.0,52285.0
2020-09-17,586.0,50870.0
2020-09-16,586.0,50870.0
2020-09-15,534.0,49899.0
2020-09-14,534.0,49899.0
2020-09-13,511.0,48386.0
2020-09-12,511.0,48386.0
2020-09-11,511.0,48386.0
2020-09-10,495.0,47410.0
2020-09-09,495.0,47410.0
2020-09-08,485.0,46914.0
2020-09-07,485.0,46914.0
2020-09-06,481.0,45220.0
2020-09-05,481.0,45220.0
2020-09-04,481.0,45220.0
2020-09-03,458.0,43940.0
2020-09-02,458.0,43940.0
2020-09-01,446.0,42612.0
2020-08-31,446.0,42612.0
2020-08-30,443.0,41048.0
2020-08-29,443.0,41048.0
2020-08-28,443.0,41048.0
2020-08-27,437.0,39937.0
2020-08-26,437.0,39937.0
2020-08-25,426.0,38401.0
2020-08-24,426.0,38401.0
2020-08-23,419.0,36856.0
2020-08-22,419.0,36856.0
2020-08-21,419.0,36856.0
2020-08-20,411.0,35890.0
2020-08-19,411.0,35890.0
2020-08-18,405.0,35167.0
2020-08-17,405.0,35167.0
2020-08-16,402.0,33885.0
2020-08-15,402.0,33885.0
2020-08-14,402.0,33885.0
2020-08-13,395.0,32547.0
2020-08-12,395.0,32547.0
2020-08-11,387.0,31730.0
2020-08-10,387.0,31730.0
2020-08-09,380.0,30638.0
2020-08-08,380.0,30638.0
2020-08-07,380.0,30638.0
2020-08-06,368.0,29717.0
2020-08-05,368.0,29717.0
2020-08-04,365.0,28876.0
2020-08-03,365.0,28876.0
2020-08-02,358.0,27812.0
2020-08-01,358.0,27812.0
2020-07-31,358.0,27812.0
2020-07-30,349.0,26870.0
2020-07-29,349.0,26870.0
2020-07-28,335.0,26172.0
2020-07-27,335.0,26172.0
2020-07-26,326.0,25109.0
2020-07-25,326.0,25109.0
2020-07-24,326.0,25109.0
2020-07-23,308.0,24104.0
2020-07-22,308.0,24104.0
2020-07-21,307.0,23334.0
2020-07-20,307.0,23334.0
2020-07-19,299.0,21965.0
2020-07-18,299.0,21965.0
2020-07-17,299.0,21965.0
2020-07-16,299.0,20933.0
2020-07-15,299.0,20933.0
2020-07-14,288.0,20058.0
2020-07-13,288.0,20058.0
2020-07-12,284.0,18611.0
2020-07-11,284.0,18611.0
2020-07-10,284.0,18611.0
2020-07-09,282.0,17618.0
2020-07-08,282.0,17618.0
2020-07-07,280.0,16901.0
2020-07-06,280.0,16901.0
2020-07-05,277.0,15919.0
2020-07-04,277.0,15919.0
2020-07-03,277.0,15919.0
2020-07-02,272.0,14990.0
2020-07-01,272.0,14990.0
2020-06-30,270.0,14443.0
2020-06-29,270.0,14443.0
2020-06-28,264.0,13538.0
2020-06-27,264.0,13538.0
2020-06-26,264.0,13538.0
2020-06-25,261.0,12970.0
2020-06-24,261.0,12970.0
2020-06-23,259.0,12465.0
2020-06-22,259.0,12465.0
2020-06-21,254.0,12059.0
2020-06-20,254.0,12059.0
2020-06-19,254.0,12059.0
2020-06-18,247.0,11681.0
2020-06-17,247.0,11681.0
2020-06-16,245.0,11419.0
2020-06-15,245.0,11419.0
2020-06-14,243.0,11047.0
2020-06-13,243.0,11047.0
2020-06-12,243.0,11047.0
2020-06-11,240.0,10812.0
2020-06-10,240.0,10812.0
2020-06-09,236.0,10650.0
2020-06-08,236.0,10650.0
2020-06-07,232.0,10393.0
2020-06-06,232.0,10393.0
2020-06-05,232.0,10393.0
2020-06-04,222.0,10170.0
2020-06-03,222.0,10170.0
2020-06-02,217.0,10011.0
2020-06-01,217.0,10011.0
2020-05-31,208.0,9719.0
2020-05-30,208.0,9719.0
2020-05-29,208.0,9719.0
2020-05-28,205.0,9337.0
2020-05-27,205.0,9337.0
2020-05-26,188.0,9218.0
2020-05-25,188.0,9218.0
2020-05-24,185.0,8958.0
2020-05-23,185.0,8958.0
2020-05-22,185.0,8958.0
2020-05-21,178.0,8539.0
2020-05-20,178.0,8539.0
2020-05-19,173.0,8340.0
2020-05-18,173.0,8340.0
2020-05-17,172.0,7886.0
2020-05-16,172.0,7886.0
2020-05-15,172.0,7886.0
2020-05-14,164.0,7468.0
2020-05-13,164.0,7468.0
2020-05-12,158.0,7116.0
2020-05-11,158.0,7116.0
2020-05-10,157.0,6948.0
2020-05-09,157.0,6751.0
2020-05-08,152.0,6501.0
2020-05-07,147.0,6144.0
2020-05-06,144.0,5734.0
2020-05-05,137.0,5458.0
2020-05-04,136.0,5245.0
2020-05-03,134.0,5030.0
2020-05-02,131.0,4746.0
2020-05-01,130.0,4449.0
2020-04-30,129.0,4238.0
2020-04-29,125.0,3738.0
2020-04-28,124.0,3491.0
2020-04-27,120.0,3328.0
2020-04-26,118.0,3174.0
2020-04-25,117.0,3056.0
2020-04-24,111.0,2777.0
2020-04-23,112.0,2482.0
2020-04-22,110.0,2211.0
2020-04-21,107.0,2025.0
2020-04-20,100.0,1986.0
2020-04-19,92.0,1849.0
2020-04-18,86.0,1790.0
2020-04-17,84.0,1705.0
2020-04-16,80.0,1588.0
2020-04-15,76.0,1494.0
2020-04-14,69.0,1426.0
2020-04-13,62.0,1376.0
2020-04-12,56.0,1337.0
2020-04-11,55.0,1268.0
2020-04-10,50.0,1166.0
2020-04-09,42.0,1106.0
2020-04-08,38.0,1046.0
2020-04-07,27.0,900.0
2020-04-06,25.0,845.0
2020-04-05,22.0,747.0
2020-04-04,21.0,698.0
2020-04-03,17.0,620.0
2020-04-02,13.0,552.0
2020-04-01,10.0,482.0
2020-03-31,9.0,428.0
2020-03-30,8.0,368.0
2020-03-29,6.0,319.0
2020-03-28,5.0,261.0
2020-03-27,4.0,202.0
2020-03-26,3.0,168.0
2020-03-25,3.0,126.0
2020-03-24,2.0,98.0
2020-03-23,2.0,82.0
2020-03-22,2.0,64.0
2020-03-21,2.0,55.0
2020-03-20,1.0,44.0
2020-03-19,1.0,34.0
2020-03-18,1.0,16.0
2020-03-17,1.0,15.0
2020-03-16,1.0,11.0
2020-03-15,1.0,8.0
2020-03-14,1.0,6.0
2020-03-13,,6.0
2020-03-12,,4.0
2020-03-11,,1.0
2020-03-10,,1.0
2020-03-09,,1.0
2020-03-08,,1.0
2020-03-07,,0.0
2020-03-06,,0.0
