date,death,positive
2021-03-07,9748.0,433785.0
2021-03-06,9716.0,433045.0
2021-03-05,9716.0,433045.0
2021-03-04,9686.0,432527.0
2021-03-03,9668.0,431771.0
2021-03-02,9647.0,431271.0
2021-03-01,9628.0,430504.0
2021-02-28,9608.0,430100.0
2021-02-27,9587.0,428592.0
2021-02-26,9587.0,428592.0
2021-02-25,9561.0,427689.0
2021-02-24,9528.0,426925.0
2021-02-23,9503.0,426048.0
2021-02-22,9477.0,424644.0
2021-02-21,9466.0,424176.0
2021-02-20,9440.0,422287.0
2021-02-19,9440.0,422287.0
2021-02-18,9406.0,421846.0
2021-02-17,9391.0,421018.0
2021-02-16,9325.0,420394.0
2021-02-15,9325.0,420394.0
2021-02-14,9292.0,419891.0
2021-02-13,9276.0,418585.0
2021-02-12,9276.0,418585.0
2021-02-11,9239.0,417415.0
2021-02-10,9212.0,414687.0
2021-02-09,9162.0,414354.0
2021-02-08,9142.0,412989.0
2021-02-07,9119.0,411812.0
2021-02-06,9076.0,409861.0
2021-02-05,9076.0,409861.0
2021-02-04,9044.0,408995.0
2021-02-03,9006.0,406235.0
2021-02-02,8953.0,404194.0
2021-02-01,8912.0,401591.0
2021-01-31,8859.0,400626.0
2021-01-30,8801.0,397276.0
2021-01-29,8801.0,397276.0
2021-01-28,8743.0,394909.0
2021-01-27,8688.0,392416.0
2021-01-26,8621.0,388562.0
2021-01-25,8590.0,385942.0
2021-01-24,8565.0,383862.0
2021-01-23,8483.0,380255.0
2021-01-22,8483.0,380255.0
2021-01-21,8442.0,378318.0
2021-01-20,8383.0,374582.0
2021-01-19,8324.0,372089.0
2021-01-18,8253.0,369951.0
2021-01-17,8203.0,368980.0
2021-01-16,8080.0,364853.0
2021-01-15,8080.0,364853.0
2021-01-14,8080.0,361148.0
2021-01-13,8022.0,355835.0
2021-01-12,7971.0,352939.0
2021-01-11,7918.0,348234.0
2021-01-10,7873.0,346829.0
2021-01-09,7833.0,341431.0
2021-01-08,7833.0,341431.0
2021-01-07,7728.0,338054.0
2021-01-06,7681.0,333524.0
2021-01-05,7635.0,326648.0
2021-01-04,7585.0,322181.0
2021-01-03,7537.0,321058.0
2021-01-02,7488.0,315275.0
2021-01-01,7488.0,315275.0
2020-12-31,7488.0,315275.0
2020-12-30,7448.0,311229.0
2020-12-29,7397.0,304485.0
2020-12-28,7336.0,300539.0
2020-12-27,7291.0,299722.0
2020-12-26,7272.0,296499.0
2020-12-25,7272.0,296499.0
2020-12-24,7272.0,296499.0
2020-12-23,7226.0,293934.0
2020-12-22,7158.0,290960.0
2020-12-21,7107.0,287261.0
2020-12-20,7042.0,286145.0
2020-12-19,6994.0,282434.0
2020-12-18,6994.0,282434.0
2020-12-17,6964.0,279321.0
2020-12-16,6933.0,275545.0
2020-12-15,6895.0,272276.0
2020-12-14,6845.0,269643.0
2020-12-13,6818.0,268613.0
2020-12-12,6767.0,264191.0
2020-12-11,6767.0,264191.0
2020-12-10,6724.0,261329.0
2020-12-09,6684.0,258914.0
2020-12-08,6652.0,254562.0
2020-12-07,6607.0,252136.0
2020-12-06,6584.0,251123.0
2020-12-05,6548.0,247177.0
2020-12-04,6548.0,247177.0
2020-12-03,6524.0,244078.0
2020-12-02,6501.0,241335.0
2020-12-01,6455.0,237740.0
2020-11-30,6420.0,232414.0
2020-11-29,6407.0,232245.0
2020-11-28,6391.0,230602.0
2020-11-27,6391.0,230602.0
2020-11-26,6350.0,225638.0
2020-11-25,6350.0,225638.0
2020-11-24,6323.0,224403.0
2020-11-23,6284.0,221160.0
2020-11-22,6260.0,220192.0
2020-11-21,6233.0,216709.0
2020-11-20,6233.0,216709.0
2020-11-19,6199.0,211966.0
2020-11-18,6184.0,209914.0
2020-11-17,6156.0,207685.0
2020-11-16,6139.0,205059.0
2020-11-15,6132.0,204513.0
2020-11-14,6121.0,201981.0
2020-11-13,6121.0,201981.0
2020-11-12,6097.0,198531.0
2020-11-11,6058.0,194702.0
2020-11-10,6058.0,194702.0
2020-11-09,6048.0,193372.0
2020-11-08,6036.0,192981.0
2020-11-07,6016.0,191715.0
2020-11-06,6016.0,191715.0
2020-11-05,5995.0,190845.0
2020-11-04,5975.0,190164.0
2020-11-03,5951.0,189148.0
2020-11-02,5934.0,187995.0
2020-11-01,5926.0,187720.0
2020-10-31,5919.0,186649.0
2020-10-30,5919.0,186649.0
2020-10-29,5908.0,186216.0
2020-10-28,5890.0,185822.0
2020-10-27,5872.0,184724.0
2020-10-26,5854.0,183802.0
2020-10-25,5837.0,183575.0
2020-10-24,5820.0,182603.0
2020-10-23,5820.0,182603.0
2020-10-22,5799.0,181904.0
2020-10-21,5790.0,181132.0
2020-10-20,5772.0,179769.0
