date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,5,0
2020-02-22,5,0
2020-02-23,5,0
2020-02-24,5,0
2020-02-25,5,0
2020-02-26,6,0
2020-02-27,7,0
2020-02-28,8,0
2020-02-29,11,0
2020-03-01,13,0
2020-03-02,17,0
2020-03-03,17,0
2020-03-04,17,0
2020-03-05,19,0
2020-03-06,26,0
2020-03-07,26,0
2020-03-08,32,0
2020-03-09,26,0
2020-03-10,36,0
2020-03-11,45,1
2020-03-12,70,3
2020-03-13,70,3
2020-03-14,81,3
2020-03-15,103,3
2020-03-16,103,3
2020-03-17,113,3
2020-03-18,124,4
2020-03-19,153,4
2020-03-20,163,4
2020-03-21,187,4
2020-03-22,248,4
2020-03-23,267,4
2020-03-24,304,4
2020-03-25,333,4
2020-03-26,368,6
2020-03-27,391,7
2020-03-28,391,8
2020-03-29,438,10
2020-03-30,446,11
2020-03-31,463,12
2020-04-01,479,12
2020-04-02,494,16
2020-04-03,508,17
2020-04-04,520,17
2020-04-05,527,18
2020-04-06,527,18
2020-04-07,541,19
2020-04-08,548,19
2020-04-09,575,19
