date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,3,0
2020-03-12,4,0
2020-03-13,5,0
2020-03-14,7,0
2020-03-15,11,0
2020-03-16,14,0
2020-03-17,19,0
2020-03-18,25,0
2020-03-19,34,0
2020-03-20,36,0
2020-03-21,44,0
2020-03-22,46,0
2020-03-23,48,0
2020-03-24,51,0
2020-03-25,53,0
2020-03-26,57,0
2020-03-27,61,0
2020-03-28,62,0
2020-03-29,63,0
2020-03-30,65,0
2020-03-31,69,0
2020-04-01,73,0
2020-04-02,76,0
2020-04-03,77,0
2020-04-04,78,1
2020-04-05,78,1
2020-04-06,78,1
2020-04-07,79,1
2020-04-08,79,1
2020-04-09,80,1
