date,death,positive
2021-03-07,6808.0,297581.0
2021-03-06,6805.0,297321.0
2021-03-05,6783.0,296745.0
2021-03-04,6764.0,296154.0
2021-03-03,6743.0,295675.0
2021-03-02,6724.0,295295.0
2021-03-01,6681.0,294994.0
2021-02-28,6681.0,294795.0
2021-02-27,6669.0,294091.0
2021-02-26,6638.0,293542.0
2021-02-25,6613.0,292811.0
2021-02-24,6605.0,291891.0
2021-02-23,6577.0,291222.0
2021-02-22,6553.0,290874.0
2021-02-21,6553.0,290632.0
2021-02-20,6553.0,290242.0
2021-02-19,6534.0,289892.0
2021-02-18,6531.0,289532.0
2021-02-17,6524.0,289398.0
2021-02-16,6501.0,288714.0
2021-02-15,6464.0,287980.0
2021-02-14,6462.0,287436.0
2021-02-13,6461.0,286343.0
2021-02-12,6429.0,285648.0
2021-02-11,6390.0,284664.0
2021-02-10,6367.0,283753.0
2021-02-09,6342.0,282969.0
2021-02-08,6270.0,282313.0
2021-02-07,6269.0,281678.0
2021-02-06,6266.0,280778.0
2021-02-05,6222.0,279742.0
2021-02-04,6182.0,278532.0
2021-02-03,6158.0,277322.0
2021-02-02,6132.0,276531.0
2021-02-01,6056.0,275706.0
2021-01-31,6045.0,275001.0
2021-01-30,6018.0,274190.0
2021-01-29,5983.0,272662.0
2021-01-28,5945.0,270476.0
2021-01-27,5917.0,268672.0
2021-01-26,5852.0,266598.0
2021-01-25,5777.0,265146.0
2021-01-24,5772.0,264219.0
2021-01-23,5752.0,263023.0
2021-01-22,5713.0,261167.0
2021-01-21,5668.0,259117.0
2021-01-20,5638.0,256827.0
2021-01-19,5574.0,255125.0
2021-01-18,5524.0,253932.0
2021-01-17,5521.0,252475.0
2021-01-16,5481.0,250869.0
2021-01-15,5411.0,248189.0
2021-01-14,5356.0,245847.0
2021-01-13,5315.0,243899.0
2021-01-12,5284.0,241957.0
2021-01-11,5186.0,240309.0
2021-01-10,5167.0,239082.0
2021-01-09,5146.0,236868.0
2021-01-08,5101.0,233665.0
2021-01-07,5061.0,231490.0
2021-01-06,5013.0,228235.0
2021-01-05,4975.0,225444.0
2021-01-04,4884.0,223677.0
2021-01-03,4871.0,222061.0
2021-01-02,4840.0,220277.0
2021-01-01,4816.0,218386.0
2020-12-31,4787.0,215811.0
2020-12-30,4747.0,213055.0
2020-12-29,4719.0,210032.0
2020-12-28,4634.0,208089.0
2020-12-27,4606.0,206388.0
2020-12-26,4565.0,205023.0
2020-12-25,4562.0,204178.0
2020-12-24,4556.0,202651.0
2020-12-23,4533.0,200325.0
2020-12-22,4490.0,197691.0
2020-12-21,4411.0,195500.0
2020-12-20,4409.0,194333.0
2020-12-19,4390.0,192111.0
2020-12-18,4354.0,190411.0
2020-12-17,4320.0,187904.0
2020-12-16,4294.0,185643.0
2020-12-15,4252.0,183300.0
2020-12-14,4204.0,181095.0
2020-12-13,4199.0,179447.0
2020-12-12,4180.0,177947.0
2020-12-11,4124.0,175282.0
2020-12-10,4083.0,172955.0
2020-12-09,4041.0,170672.0
2020-12-08,4017.0,167926.0
2020-12-07,3961.0,166194.0
2020-12-06,3961.0,164931.0
2020-12-05,3949.0,163458.0
2020-12-04,3916.0,161516.0
2020-12-03,3879.0,159036.0
2020-12-02,3851.0,156868.0
2020-12-01,3836.0,154411.0
2020-11-30,3807.0,153270.0
2020-11-29,3806.0,151785.0
2020-11-28,3779.0,149940.0
2020-11-27,3769.0,148387.0
2020-11-26,3763.0,147382.0
2020-11-25,3745.0,145636.0
2020-11-24,3729.0,144544.0
2020-11-23,3676.0,143879.0
2020-11-22,3676.0,143180.0
2020-11-21,3657.0,142401.0
2020-11-20,3642.0,140429.0
2020-11-19,3619.0,138791.0
2020-11-18,3601.0,137396.0
2020-11-17,3581.0,135803.0
2020-11-16,3545.0,134898.0
2020-11-15,3543.0,134309.0
2020-11-14,3540.0,133340.0
2020-11-13,3519.0,131970.0
2020-11-12,3514.0,130665.0
2020-11-11,3497.0,129394.0
2020-11-10,3480.0,128138.0
2020-11-09,3443.0,127205.0
2020-11-08,3443.0,126689.0
2020-11-07,3433.0,125885.0
2020-11-06,3419.0,124854.0
2020-11-05,3405.0,123887.0
2020-11-04,3397.0,122275.0
2020-11-03,3384.0,121509.0
2020-11-02,3348.0,120865.0
2020-11-01,3348.0,120500.0
2020-10-31,3334.0,120160.0
2020-10-30,3328.0,119336.0
2020-10-29,3310.0,118587.0
2020-10-28,3302.0,117617.0
2020-10-27,3283.0,116617.0
2020-10-26,3263.0,115763.0
2020-10-25,3255.0,115088.0
2020-10-24,3255.0,115088.0
2020-10-23,3238.0,113876.0
2020-10-22,3231.0,113081.0
2020-10-21,3223.0,112123.0
2020-10-20,3202.0,111322.0
2020-10-19,3171.0,110592.0
2020-10-18,3171.0,110006.0
2020-10-17,3171.0,110006.0
2020-10-16,3160.0,109255.0
2020-10-15,3152.0,108139.0
2020-10-14,3140.0,106817.0
2020-10-13,3115.0,105941.0
2020-10-12,3101.0,105228.0
2020-10-11,3101.0,104932.0
2020-10-10,3096.0,104638.0
2020-10-09,3080.0,103681.0
2020-10-08,3074.0,102819.0
2020-10-07,3051.0,102241.0
2020-10-06,3013.0,100703.0
2020-10-05,3013.0,100703.0
2020-10-04,3013.0,100488.0
2020-10-03,3011.0,100167.0
2020-10-02,2999.0,99558.0
2020-10-01,2979.0,98886.0
2020-09-30,2969.0,98190.0
2020-09-29,2957.0,97638.0
2020-09-28,2921.0,97049.0
2020-09-27,2919.0,96859.0
2020-09-26,2911.0,96677.0
2020-09-25,2894.0,96032.0
2020-09-24,2874.0,95310.0
2020-09-23,2870.0,94573.0
2020-09-22,2846.0,94021.0
2020-09-21,2810.0,93556.0
2020-09-20,2810.0,93364.0
2020-09-19,2809.0,93087.0
2020-09-18,2780.0,91935.0
2020-09-17,2780.0,91935.0
2020-09-16,2756.0,91234.0
2020-09-15,2734.0,90523.0
2020-09-14,2706.0,90018.0
2020-09-13,2697.0,89874.0
2020-09-12,2685.0,89620.0
2020-09-11,2670.0,89175.0
2020-09-10,2656.0,88322.0
2020-09-09,2623.0,87805.0
2020-09-08,2585.0,87379.0
2020-09-07,2585.0,87130.0
2020-09-06,2584.0,86888.0
2020-09-05,2569.0,86478.0
2020-09-04,2558.0,85939.0
2020-09-03,2536.0,85116.0
2020-09-02,2526.0,84365.0
2020-09-01,2493.0,83584.0
2020-08-31,2473.0,82950.0
2020-08-30,2441.0,82676.0
2020-08-29,2427.0,82029.0
2020-08-28,2413.0,81294.0
2020-08-27,2399.0,80695.0
2020-08-26,2373.0,80110.0
2020-08-25,2315.0,79206.0
2020-08-24,2248.0,78405.0
2020-08-23,2240.0,77894.0
2020-08-22,2237.0,77268.0
2020-08-21,2214.0,76323.0
2020-08-20,2190.0,75449.0
2020-08-19,2163.0,74555.0
2020-08-18,2128.0,73207.0
2020-08-17,2095.0,72412.0
2020-08-16,2084.0,72136.0
2020-08-15,2080.0,71755.0
2020-08-14,2043.0,70930.0
2020-08-13,2011.0,69986.0
2020-08-12,1989.0,69374.0
2020-08-11,1944.0,68293.0
2020-08-10,1912.0,67649.0
2020-08-09,1896.0,67173.0
2020-08-08,1874.0,66646.0
2020-08-07,1848.0,65436.0
2020-08-06,1825.0,64400.0
2020-08-05,1804.0,63444.0
2020-08-04,1753.0,62199.0
2020-08-03,1711.0,61125.0
2020-08-02,1703.0,60553.0
2020-08-01,1693.0,59881.0
2020-07-31,1663.0,58747.0
2020-07-30,1611.0,57579.0
2020-07-29,1563.0,55804.0
2020-07-28,1543.0,54299.0
2020-07-27,1501.0,52957.0
2020-07-26,1495.0,52304.0
2020-07-25,1480.0,51097.0
2020-07-24,1463.0,49663.0
2020-07-23,1436.0,48053.0
2020-07-22,1423.0,47071.0
2020-07-21,1389.0,45524.0
2020-07-20,1358.0,43889.0
2020-07-19,1355.0,42638.0
2020-07-18,1346.0,41846.0
2020-07-17,1332.0,40829.0
2020-07-16,1308.0,39797.0
2020-07-15,1290.0,38567.0
2020-07-14,1272.0,37542.0
2020-07-13,1250.0,36680.0
2020-07-12,1249.0,36287.0
2020-07-11,1230.0,35419.0
2020-07-10,1215.0,34622.0
2020-07-09,1204.0,33591.0
