date,death,positive
2021-03-07,1184.0,76861.0
2021-03-06,1181.0,76695.0
2021-03-05,1178.0,76422.0
2021-03-04,1178.0,76178.0
2021-03-03,1175.0,75990.0
2021-03-02,1170.0,75803.0
2021-03-01,1170.0,75588.0
2021-02-28,1170.0,75424.0
2021-02-27,1170.0,75166.0
2021-02-26,1167.0,74893.0
2021-02-25,1163.0,74568.0
2021-02-24,1157.0,74258.0
2021-02-23,1155.0,73923.0
2021-02-22,1154.0,73665.0
2021-02-21,1154.0,73413.0
2021-02-20,1153.0,73161.0
2021-02-19,1152.0,72767.0
2021-02-18,1150.0,72399.0
2021-02-17,1148.0,71965.0
2021-02-16,1136.0,71215.0
2021-02-15,1135.0,71017.0
2021-02-14,1133.0,70785.0
2021-02-13,1130.0,70505.0
2021-02-12,1126.0,70072.0
2021-02-11,1117.0,69612.0
2021-02-10,1116.0,69247.0
2021-02-09,1109.0,68918.0
2021-02-08,1106.0,68499.0
2021-02-07,1104.0,68379.0
2021-02-06,1098.0,68061.0
2021-02-05,1091.0,67595.0
2021-02-04,1085.0,67117.0
2021-02-03,1076.0,66721.0
2021-02-02,1066.0,66384.0
2021-02-01,1059.0,66058.0
2021-01-31,1057.0,65695.0
2021-01-30,1042.0,65362.0
2021-01-29,1036.0,64838.0
2021-01-28,1022.0,64258.0
2021-01-27,1006.0,63563.0
2021-01-26,994.0,63172.0
2021-01-25,990.0,62768.0
2021-01-24,987.0,62337.0
2021-01-23,981.0,61576.0
2021-01-22,971.0,60951.0
2021-01-21,962.0,60294.0
2021-01-20,950.0,59437.0
2021-01-19,938.0,58709.0
2021-01-18,933.0,57864.0
2021-01-17,933.0,56864.0
2021-01-16,927.0,55945.0
2021-01-15,908.0,55500.0
2021-01-14,897.0,54778.0
2021-01-13,885.0,54125.0
2021-01-12,878.0,53148.0
2021-01-11,869.0,52307.0
2021-01-10,869.0,51600.0
2021-01-09,862.0,50871.0
2021-01-08,846.0,50152.0
2021-01-07,827.0,49261.0
2021-01-06,816.0,48838.0
2021-01-05,792.0,47992.0
2021-01-04,781.0,47328.0
2021-01-03,780.0,46450.0
2021-01-02,769.0,45184.0
2021-01-01,759.0,44028.0
2020-12-31,759.0,44028.0
2020-12-30,741.0,43242.0
2020-12-29,735.0,42697.0
2020-12-28,715.0,41670.0
2020-12-27,708.0,40809.0
2020-12-26,701.0,39933.0
2020-12-25,690.0,38902.0
2020-12-24,690.0,38902.0
2020-12-23,677.0,38512.0
2020-12-22,656.0,38008.0
2020-12-21,656.0,37388.0
2020-12-20,656.0,36542.0
2020-12-19,650.0,35609.0
2020-12-18,638.0,34960.0
2020-12-17,629.0,34264.0
2020-12-16,625.0,33433.0
2020-12-15,604.0,32545.0
2020-12-14,604.0,31875.0
2020-12-13,603.0,30956.0
2020-12-12,600.0,30244.0
2020-12-11,590.0,29460.0
2020-12-10,584.0,28273.0
2020-12-09,570.0,27592.0
2020-12-08,566.0,26623.0
2020-12-07,566.0,25816.0
2020-12-06,564.0,24771.0
2020-12-05,559.0,24138.0
2020-12-04,552.0,23690.0
2020-12-03,544.0,22925.0
2020-12-02,537.0,22332.0
2020-12-01,528.0,21766.0
2020-11-30,526.0,20994.0
2020-11-29,526.0,20480.0
2020-11-28,523.0,20002.0
2020-11-27,517.0,19313.0
2020-11-26,514.0,18776.0
2020-11-25,514.0,18776.0
2020-11-24,513.0,18382.0
2020-11-23,512.0,18042.0
2020-11-22,512.0,17598.0
2020-11-21,508.0,17281.0
2020-11-20,507.0,16797.0
2020-11-19,506.0,16277.0
2020-11-18,504.0,15749.0
2020-11-17,502.0,15303.0
2020-11-16,500.0,15029.0
2020-11-15,499.0,14671.0
2020-11-14,499.0,14311.0
2020-11-13,498.0,13929.0
2020-11-12,495.0,13470.0
2020-11-11,492.0,13148.0
2020-11-10,489.0,12919.0
2020-11-09,489.0,12699.0
2020-11-08,489.0,12488.0
2020-11-07,489.0,12241.0
2020-11-06,488.0,12012.0
2020-11-05,486.0,11808.0
2020-11-04,484.0,11563.0
2020-11-03,483.0,11448.0
2020-11-02,483.0,11320.0
2020-11-01,483.0,11214.0
2020-10-31,483.0,11084.0
2020-10-30,482.0,10884.0
2020-10-29,482.0,10768.0
2020-10-28,478.0,10641.0
2020-10-27,475.0,10531.0
2020-10-26,475.0,10397.0
2020-10-25,473.0,10328.0
2020-10-24,473.0,10238.0
2020-10-23,471.0,10112.0
2020-10-22,470.0,9994.0
2020-10-21,469.0,9917.0
2020-10-20,468.0,9828.0
2020-10-19,468.0,9746.0
2020-10-18,467.0,9694.0
2020-10-17,466.0,9625.0
2020-10-16,465.0,9514.0
2020-10-15,463.0,9426.0
2020-10-14,458.0,9349.0
2020-10-13,456.0,9279.0
2020-10-12,456.0,9143.0
2020-10-11,455.0,9092.0
2020-10-10,455.0,9092.0
2020-10-09,449.0,8878.0
2020-10-08,449.0,8878.0
2020-10-07,448.0,8800.0
2020-10-06,446.0,8731.0
2020-10-05,444.0,8680.0
2020-10-04,443.0,8645.0
2020-10-03,442.0,8597.0
2020-10-02,442.0,8534.0
2020-10-01,441.0,8317.0
2020-09-30,439.0,8266.0
2020-09-29,439.0,8233.0
2020-09-28,439.0,8208.0
2020-09-27,439.0,8172.0
2020-09-26,439.0,8121.0
2020-09-25,438.0,8044.0
2020-09-24,438.0,8044.0
2020-09-23,438.0,8007.0
2020-09-22,438.0,7990.0
2020-09-21,438.0,7952.0
2020-09-20,438.0,7947.0
2020-09-19,438.0,7920.0
2020-09-18,438.0,7861.0
2020-09-17,438.0,7814.0
2020-09-16,438.0,7780.0
2020-09-15,438.0,7748.0
2020-09-14,436.0,7714.0
2020-09-13,436.0,7696.0
2020-09-12,435.0,7652.0
2020-09-11,434.0,7620.0
2020-09-10,434.0,7573.0
2020-09-09,433.0,7494.0
2020-09-08,433.0,7494.0
2020-09-07,433.0,7476.0
2020-09-06,433.0,7447.0
2020-09-05,432.0,7424.0
2020-09-04,432.0,7368.0
2020-09-03,432.0,7347.0
2020-09-02,432.0,7297.0
