date,death,positive
2021-03-07,39029.0,1681169.0
2021-03-06,38970.0,1674380.0
2021-03-05,38891.0,1666733.0
2021-03-04,38796.0,1657777.0
2021-03-03,38735.0,1650184.0
2021-03-02,38660.0,1642480.0
2021-03-01,38577.0,1636680.0
2021-02-28,38497.0,1630445.0
2021-02-27,38407.0,1622865.0
2021-02-26,38321.0,1614724.0
2021-02-25,38227.0,1606520.0
2021-02-24,38135.0,1597774.0
2021-02-23,38031.0,1591585.0
2021-02-22,37941.0,1584931.0
2021-02-21,37851.0,1578785.0
2021-02-20,37776.0,1572175.0
2021-02-19,37675.0,1564483.0
2021-02-18,37556.0,1555773.0
2021-02-17,37440.0,1548979.0
2021-02-16,37328.0,1542887.0
2021-02-15,37221.0,1536134.0
2021-02-14,37118.0,1529769.0
2021-02-13,37009.0,1521453.0
2021-02-12,36882.0,1512690.0
2021-02-11,36743.0,1504286.0
2021-02-10,36619.0,1494187.0
2021-02-09,36481.0,1487086.0
2021-02-08,36339.0,1479220.0
2021-02-07,36224.0,1470772.0
2021-02-06,36079.0,1460747.0
2021-02-05,35920.0,1449495.0
2021-02-04,35767.0,1440718.0
2021-02-03,35631.0,1433304.0
2021-02-02,35466.0,1427379.0
2021-02-01,35319.0,1419164.0
2021-01-31,35178.0,1410656.0
2021-01-30,35036.0,1399863.0
2021-01-29,34893.0,1387059.0
2021-01-28,34742.0,1374480.0
2021-01-27,34579.0,1361082.0
2021-01-26,34407.0,1350054.0
2021-01-25,34242.0,1338990.0
2021-01-24,34069.0,1326987.0
2021-01-23,33907.0,1314267.0
2021-01-22,33763.0,1300481.0
2021-01-21,33594.0,1285337.0
2021-01-20,33415.0,1271451.0
2021-01-19,33224.0,1258087.0
2021-01-18,33052.0,1245575.0
2021-01-17,32897.0,1233390.0
2021-01-16,32725.0,1219548.0
2021-01-15,32566.0,1203550.0
2021-01-14,32379.0,1183608.0
2021-01-13,32175.0,1169947.0
2021-01-12,32007.0,1155370.0
2021-01-11,31841.0,1140156.0
2021-01-10,31672.0,1126442.0
2021-01-09,31519.0,1111087.0
2021-01-08,31329.0,1094144.0
2021-01-07,31164.0,1075312.0
2021-01-06,30965.0,1057676.0
2021-01-05,30802.0,1041028.0
2021-01-04,30648.0,1028362.0
2021-01-03,30476.0,1017153.0
2021-01-02,30337.0,1005785.0
