date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,2,0
2020-03-02,5,0
2020-03-03,10,0
2020-03-04,14,0
2020-03-05,24,0
2020-03-06,41,0
2020-03-07,81,1
2020-03-08,131,1
2020-03-09,163,2
2020-03-10,224,3
2020-03-11,354,3
2020-03-12,477,4
2020-03-13,604,4
2020-03-14,717,6
2020-03-15,936,10
2020-03-16,1109,17
2020-03-17,1379,21
2020-03-18,1667,38
2020-03-19,2014,53
2020-03-20,2410,76
2020-03-21,2943,104
2020-03-22,3580,134
2020-03-23,4185,178
2020-03-24,4738,210
2020-03-25,5487,272
2020-03-26,6330,348
2020-03-27,7337,419
2020-03-28,8504,541
2020-03-29,9650,630
2020-03-30,10742,752
2020-03-31,11616,836
2020-04-01,12452,1004
2020-04-02,13460,1137
2020-04-03,14543,1292
2020-04-04,15563,1437
2020-04-05,16565,1624
2020-04-06,17664,1727
