date,death,positive
2021-03-07,2062.0,101632.0
2021-03-06,2059.0,101327.0
2021-03-05,2056.0,101066.0
2021-03-04,2053.0,100867.0
2021-03-03,2048.0,100765.0
2021-03-02,2040.0,100735.0
2021-03-01,2037.0,100584.0
2021-02-28,2036.0,100297.0
2021-02-27,2032.0,100044.0
2021-02-26,2023.0,99860.0
2021-02-25,2016.0,99619.0
2021-02-24,2007.0,99519.0
2021-02-23,1986.0,99476.0
2021-02-22,1983.0,99257.0
2021-02-21,1979.0,99084.0
2021-02-20,1957.0,98835.0
2021-02-19,1947.0,98624.0
2021-02-18,1940.0,98506.0
2021-02-17,1930.0,98428.0
2021-02-16,1924.0,98317.0
2021-02-15,1920.0,97837.0
2021-02-14,1919.0,97609.0
2021-02-13,1915.0,97313.0
2021-02-12,1907.0,96924.0
2021-02-11,1902.0,96636.0
2021-02-10,1897.0,96494.0
2021-02-09,1893.0,96402.0
2021-02-08,1888.0,96161.0
2021-02-07,1883.0,95839.0
2021-02-06,1872.0,95355.0
2021-02-05,1867.0,95064.0
2021-02-04,1861.0,94984.0
2021-02-03,1853.0,94662.0
2021-02-02,1846.0,94526.0
2021-02-01,1836.0,94238.0
2021-01-31,1829.0,93624.0
2021-01-30,1823.0,93406.0
2021-01-29,1812.0,92968.0
2021-01-28,1801.0,92541.0
2021-01-27,1794.0,92244.0
2021-01-26,1783.0,92069.0
2021-01-25,1778.0,91596.0
2021-01-24,1773.0,91028.0
2021-01-23,1771.0,90073.0
2021-01-22,1761.0,89282.0
2021-01-21,1732.0,88728.0
2021-01-20,1717.0,88513.0
2021-01-19,1703.0,88373.0
2021-01-18,1703.0,87939.0
2021-01-17,1703.0,87381.0
2021-01-16,1703.0,86523.0
2021-01-15,1692.0,85954.0
2021-01-14,1679.0,84816.0
2021-01-13,1659.0,84639.0
2021-01-12,1645.0,84427.0
2021-01-11,1642.0,83468.0
2021-01-10,1630.0,83119.0
2021-01-09,1616.0,82630.0
2021-01-08,1592.0,82067.0
2021-01-07,1588.0,79898.0
2021-01-06,1570.0,79612.0
2021-01-05,1562.0,79319.0
2021-01-04,1555.0,78805.0
2021-01-03,1545.0,78169.0
2021-01-02,1526.0,77932.0
2021-01-01,1521.0,77054.0
2020-12-31,1503.0,76291.0
2020-12-30,1484.0,75888.0
2020-12-29,1460.0,75790.0
2020-12-28,1456.0,73658.0
2020-12-27,1445.0,73227.0
2020-12-26,1432.0,72443.0
2020-12-25,1432.0,71424.0
2020-12-24,1423.0,70808.0
2020-12-23,1408.0,70488.0
2020-12-22,1391.0,69912.0
2020-12-21,1382.0,68849.0
2020-12-20,1368.0,68433.0
2020-12-19,1342.0,67211.0
2020-12-18,1333.0,66132.0
2020-12-17,1323.0,64751.0
2020-12-16,1312.0,63686.0
2020-12-15,1294.0,63419.0
2020-12-14,1282.0,62985.0
2020-12-13,1272.0,62431.0
2020-12-12,1266.0,61723.0
2020-12-11,1249.0,61002.0
2020-12-10,1238.0,59458.0
2020-12-09,1219.0,58962.0
2020-12-08,1206.0,58316.0
2020-12-07,1203.0,57622.0
2020-12-06,1192.0,56671.0
2020-12-05,1185.0,55532.0
2020-12-04,1173.0,54597.0
2020-12-03,1155.0,54105.0
2020-12-02,1144.0,53708.0
2020-12-01,1122.0,53320.0
2020-11-30,1106.0,52545.0
2020-11-29,1094.0,51702.0
2020-11-28,1083.0,51581.0
2020-11-27,1076.0,50678.0
2020-11-26,1069.0,49226.0
2020-11-25,1052.0,48725.0
2020-11-24,1038.0,48548.0
2020-11-23,1032.0,48200.0
2020-11-22,1017.0,47459.0
2020-11-21,1012.0,46434.0
2020-11-20,991.0,45335.0
2020-11-19,982.0,44431.0
2020-11-18,971.0,43910.0
2020-11-17,951.0,43585.0
2020-11-16,942.0,43016.0
2020-11-15,935.0,42479.0
2020-11-14,921.0,41772.0
2020-11-13,914.0,41119.0
2020-11-12,909.0,40452.0
2020-11-11,901.0,39120.0
2020-11-10,889.0,38856.0
2020-11-09,882.0,38581.0
2020-11-08,872.0,38100.0
2020-11-07,862.0,37567.0
2020-11-06,862.0,36904.0
2020-11-05,855.0,36101.0
2020-11-04,850.0,35807.0
2020-11-03,842.0,35750.0
2020-11-02,839.0,35405.0
2020-11-01,832.0,34541.0
2020-10-31,822.0,34138.0
2020-10-30,820.0,33853.0
2020-10-29,814.0,33279.0
2020-10-28,813.0,32527.0
2020-10-27,808.0,32461.0
2020-10-26,804.0,32198.0
2020-10-25,801.0,31737.0
2020-10-24,794.0,31072.0
2020-10-23,791.0,30956.0
2020-10-22,783.0,29804.0
2020-10-21,774.0,29717.0
2020-10-20,769.0,29585.0
2020-10-19,768.0,29138.0
