date,death,positive
2021-03-07,11543.0,782206.0
2021-03-06,11543.0,782206.0
2021-03-05,11534.0,780894.0
2021-03-04,11501.0,779449.0
2021-03-03,11459.0,777935.0
2021-03-02,11436.0,776337.0
2021-03-01,11421.0,775693.0
2021-02-28,11411.0,775004.0
2021-02-27,11393.0,773887.0
2021-02-26,11377.0,772513.0
2021-02-25,11321.0,770940.0
2021-02-24,11266.0,768946.0
2021-02-23,11198.0,767315.0
2021-02-22,11153.0,766089.0
2021-02-21,11133.0,765137.0
2021-02-20,11115.0,764008.0
2021-02-19,11064.0,762673.0
2021-02-18,11057.0,761301.0
2021-02-17,10985.0,760303.0
2021-02-16,10954.0,759523.0
2021-02-15,10937.0,758561.0
2021-02-14,10933.0,757418.0
2021-02-13,10902.0,756071.0
2021-02-12,10893.0,754279.0
2021-02-11,10812.0,752033.0
2021-02-10,10731.0,750409.0
2021-02-09,10631.0,747462.0
2021-02-08,10566.0,745826.0
2021-02-07,10469.0,744600.0
2021-02-06,10463.0,742213.0
2021-02-05,10405.0,739031.0
2021-02-04,10202.0,736370.0
2021-02-03,10033.0,733216.0
2021-02-02,9900.0,731360.0
2021-02-01,9753.0,729187.0
2021-01-31,9650.0,727861.0
2021-01-30,9574.0,724742.0
2021-01-29,9461.0,722491.0
2021-01-28,9417.0,717583.0
2021-01-27,9316.0,715806.0
2021-01-26,9162.0,712406.0
2021-01-25,8970.0,710427.0
2021-01-24,8859.0,708717.0
2021-01-23,8819.0,705876.0
2021-01-22,8777.0,701847.0
2021-01-21,8684.0,697783.0
2021-01-20,8556.0,694291.0
2021-01-19,8470.0,689808.0
2021-01-18,8430.0,687751.0
2021-01-17,8391.0,685321.0
2021-01-16,8355.0,680847.0
2021-01-15,8311.0,676039.0
2021-01-14,8232.0,670482.0
2021-01-13,8148.0,665499.0
2021-01-12,8011.0,660874.0
2021-01-11,7865.0,657396.0
2021-01-10,7785.0,653869.0
2021-01-09,7704.0,646450.0
2021-01-08,7618.0,640606.0
2021-01-07,7492.0,634237.0
