date,death,positive
2021-03-07,44451.0,2686818.0
2021-03-06,44367.0,2683865.0
2021-03-05,44134.0,2678295.0
2021-03-04,43878.0,2671442.0
2021-03-03,43563.0,2663414.0
2021-03-02,43266.0,2655592.0
2021-03-01,42995.0,2647845.0
2021-02-28,42936.0,2644024.0
2021-02-27,42739.0,2640209.0
2021-02-26,42575.0,2629136.0
2021-02-25,42285.0,2621181.0
2021-02-24,41980.0,2613792.0
2021-02-23,41641.0,2606275.0
2021-02-22,41407.0,2594466.0
2021-02-21,41343.0,2588101.0
2021-02-20,41213.0,2583617.0
2021-02-19,40986.0,2577131.0
2021-02-18,40814.0,2574194.0
2021-02-17,40717.0,2571063.0
2021-02-16,40645.0,2567297.0
2021-02-15,40593.0,2563949.0
2021-02-14,40527.0,2560060.0
2021-02-13,40378.0,2553127.0
2021-02-12,40095.0,2541845.0
2021-02-11,39771.0,2529343.0
2021-02-10,39386.0,2517453.0
2021-02-09,39001.0,2504556.0
2021-02-08,38700.0,2491227.0
2021-02-07,38643.0,2483742.0
2021-02-06,38476.0,2476783.0
2021-02-05,38128.0,2462886.0
2021-02-04,37727.0,2448391.0
2021-02-03,37288.0,2433110.0
2021-02-02,36870.0,2415490.0
2021-02-01,36539.0,2392443.0
2021-01-31,36491.0,2360632.0
2021-01-30,36320.0,2349262.0
2021-01-29,35988.0,2330028.0
2021-01-28,35639.0,2310952.0
2021-01-27,35168.0,2292732.0
2021-01-26,34701.0,2273119.0
2021-01-25,34394.0,2246845.0
2021-01-24,34322.0,2240526.0
2021-01-23,34114.0,2228961.0
2021-01-22,33707.0,2211289.0
2021-01-21,33285.0,2188643.0
2021-01-20,32844.0,2166283.0
2021-01-19,32394.0,2135028.0
2021-01-18,32084.0,2125552.0
2021-01-17,32038.0,2113962.0
2021-01-16,31831.0,2097560.0
2021-01-15,31450.0,2072903.0
2021-01-14,31050.0,2045699.0
2021-01-13,30624.0,2022635.0
2021-01-12,30219.0,1995292.0
2021-01-11,29933.0,1969240.0
2021-01-10,29877.0,1954406.0
2021-01-09,29691.0,1938551.0
2021-01-08,29310.0,1915261.0
2021-01-07,28938.0,1891741.0
2021-01-06,28545.0,1867163.0
2021-01-05,28219.0,1843153.0
2021-01-04,27969.0,1811523.0
2021-01-03,27917.0,1793341.0
2021-01-02,27867.0,1777246.0
2021-01-01,27771.0,1772483.0
2020-12-31,27437.0,1756172.0
2020-12-30,27088.0,1737447.0
2020-12-29,26762.0,1715978.0
2020-12-28,26521.0,1683426.0
2020-12-27,26472.0,1668597.0
2020-12-26,26421.0,1660551.0
2020-12-25,26408.0,1657857.0
2020-12-24,26208.0,1653522.0
2020-12-23,25900.0,1636458.0
2020-12-22,25606.0,1613095.0
2020-12-21,25415.0,1591948.0
2020-12-20,25348.0,1581668.0
2020-12-19,25226.0,1573888.0
2020-12-18,24954.0,1555981.0
2020-12-17,24660.0,1539189.0
2020-12-16,24394.0,1519340.0
