date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,5,0
2020-03-03,0,0
2020-03-04,5,0
2020-03-05,5,0
2020-03-06,5,0
2020-03-07,5,0
2020-03-08,6,0
2020-03-09,6,0
2020-03-10,10,0
2020-03-11,10,0
2020-03-12,11,0
2020-03-13,11,0
2020-03-14,20,0
2020-03-15,22,0
2020-03-16,24,0
2020-03-17,28,0
2020-03-18,33,0
2020-03-19,39,0
2020-03-20,54,1
2020-03-21,60,1
2020-03-22,75,3
2020-03-23,89,3
2020-03-24,114,3
2020-03-25,173,5
2020-03-26,173,5
2020-03-27,197,5
2020-03-28,227,6
2020-03-29,278,8
2020-03-30,312,8
2020-03-31,362,9
2020-04-01,394,10
2020-04-02,423,12
2020-04-03,455,14
2020-04-04,495,18
2020-04-05,553,19
2020-04-06,574,22
2020-04-07,596,22
2020-04-08,623,23
2020-04-09,628,24
