date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,8,0
2020-01-30,8,0
2020-01-31,8,0
2020-02-01,9,0
2020-02-02,9,0
2020-02-03,9,0
2020-02-04,9,0
2020-02-05,9,0
2020-02-06,9,0
2020-02-07,9,0
2020-02-08,11,0
2020-02-09,11,0
2020-02-10,12,0
2020-02-11,12,0
2020-02-12,12,0
2020-02-13,12,0
2020-02-14,12,0
2020-02-15,12,0
2020-02-16,13,0
2020-02-17,13,0
2020-02-18,13,0
2020-02-19,13,0
2020-02-20,13,0
2020-02-21,15,0
2020-02-22,17,0
2020-02-23,17,0
2020-02-24,17,0
2020-02-25,17,0
2020-02-26,17,0
2020-02-27,23,0
2020-02-28,23,0
2020-02-29,23,0
2020-03-01,25,0
2020-03-02,25,0
2020-03-03,31,0
2020-03-04,31,0
2020-03-05,31,0
2020-03-06,49,0
2020-03-07,49,0
2020-03-08,49,0
2020-03-09,63,0
2020-03-10,78,0
2020-03-11,78,0
2020-03-12,89,0
2020-03-13,89,0
2020-03-14,89,0
2020-03-15,102,0
2020-03-16,102,0
2020-03-17,102,0
2020-03-18,117,0
2020-03-19,140,0
2020-03-20,140,0
2020-03-21,140,2
2020-03-22,153,2
2020-03-23,198,2
2020-03-24,248,2
2020-03-25,333,2
2020-03-26,333,2
2020-03-27,333,2
2020-03-28,405,2
2020-03-29,468,2
2020-03-30,570,3
2020-03-31,664,6
2020-04-01,664,6
2020-04-02,814,8
2020-04-03,1024,8
2020-04-04,1264,9
2020-04-05,1505,10
2020-04-06,1799,10
2020-04-07,2076,11
2020-04-08,2359,12
