date,death,positive
2021-03-07,9596.0,585700.0
2021-03-06,9519.0,584537.0
2021-03-05,9428.0,583060.0
2021-03-04,9357.0,581408.0
2021-03-03,9326.0,580108.0
2021-03-02,8943.0,578559.0
2021-03-01,8783.0,577174.0
2021-02-28,8552.0,576050.0
2021-02-27,8382.0,574314.0
2021-02-26,8197.0,572639.0
2021-02-25,7963.0,570982.0
2021-02-24,7807.0,568946.0
2021-02-23,7658.0,567039.0
2021-02-22,7486.0,565270.0
2021-02-21,7331.0,564115.0
2021-02-20,7197.0,561812.0
2021-02-19,7098.0,559930.0
2021-02-18,7090.0,557896.0
2021-02-17,7075.0,555592.0
2021-02-16,7037.0,553308.0
2021-02-15,7016.0,551538.0
2021-02-14,7012.0,549999.0
2021-02-13,6996.0,547424.0
2021-02-12,6966.0,544209.0
2021-02-11,6958.0,541018.0
2021-02-10,6932.0,537319.0
2021-02-09,6898.0,534116.0
2021-02-08,6820.0,530825.0
2021-02-07,6778.0,529125.0
2021-02-06,6773.0,526176.0
2021-02-05,6732.0,521467.0
2021-02-04,6650.0,516398.0
2021-02-03,6575.0,513339.0
2021-02-02,6517.0,510380.0
2021-02-01,6474.0,507640.0
2021-01-31,6464.0,504779.0
2021-01-30,6449.0,502221.0
2021-01-29,6379.0,497912.0
2021-01-28,6308.0,493674.0
2021-01-27,6228.0,488553.0
2021-01-26,6174.0,483326.0
2021-01-25,6081.0,478619.0
2021-01-24,6078.0,472447.0
2021-01-23,6079.0,468655.0
2021-01-22,6002.0,463751.0
2021-01-21,5940.0,459604.0
2021-01-20,5861.0,455591.0
2021-01-19,5798.0,451076.0
2021-01-18,5739.0,446550.0
2021-01-17,5729.0,439305.0
2021-01-16,5706.0,429391.0
2021-01-15,5656.0,422634.0
2021-01-14,5626.0,417839.0
2021-01-13,5552.0,412545.0
2021-01-12,5477.0,407947.0
2021-01-11,5393.0,403386.0
2021-01-10,5383.0,398856.0
2021-01-09,5381.0,393715.0
2021-01-08,5312.0,387917.0
2021-01-07,5275.0,382679.0
2021-01-06,5226.0,377300.0
2021-01-05,5191.0,371913.0
2021-01-04,5132.0,367536.0
2021-01-03,5124.0,363765.0
2021-01-02,5117.0,358755.0
2021-01-01,5081.0,354766.0
2020-12-31,5032.0,349584.0
2020-12-30,4984.0,344345.0
2020-12-29,4920.0,340297.0
2020-12-28,4861.0,336175.0
2020-12-27,4854.0,333576.0
2020-12-26,4840.0,329577.0
2020-12-25,4820.0,327993.0
2020-12-24,4791.0,323915.0
2020-12-23,4760.0,319133.0
2020-12-22,4705.0,314481.0
2020-12-21,4654.0,310890.0
2020-12-20,4650.0,306848.0
2020-12-19,4643.0,302972.0
2020-12-18,4598.0,299388.0
2020-12-17,4553.0,296093.0
2020-12-16,4508.0,292240.0
2020-12-15,4470.0,288309.0
2020-12-14,4414.0,285149.0
2020-12-13,4411.0,281909.0
2020-12-12,4409.0,278615.0
2020-12-11,4370.0,274438.0
2020-12-10,4335.0,271043.0
2020-12-09,4281.0,267128.0
2020-12-08,4260.0,262730.0
2020-12-07,4208.0,258870.0
2020-12-06,4200.0,255053.0
2020-12-05,4197.0,251173.0
2020-12-04,4160.0,247380.0
2020-12-03,4147.0,244503.0
2020-12-02,4113.0,242480.0
2020-12-01,4093.0,240063.0
2020-11-30,4062.0,237835.0
2020-11-29,4058.0,235942.0
2020-11-28,4054.0,233617.0
2020-11-27,4044.0,230444.0
2020-11-26,4029.0,228900.0
2020-11-25,4008.0,226300.0
2020-11-24,3979.0,223582.0
2020-11-23,3942.0,221038.0
2020-11-22,3938.0,217796.0
2020-11-21,3938.0,215679.0
2020-11-20,3912.0,213331.0
2020-11-19,3896.0,210787.0
2020-11-18,3860.0,208833.0
2020-11-17,3835.0,206762.0
2020-11-16,3806.0,204637.0
2020-11-15,3800.0,201960.0
2020-11-14,3799.0,200799.0
2020-11-13,3785.0,199262.0
2020-11-12,3758.0,198027.0
2020-11-11,3741.0,196506.0
2020-11-10,3726.0,194912.0
2020-11-09,3713.0,193477.0
2020-11-08,3707.0,192175.0
2020-11-07,3704.0,190873.0
2020-11-06,3682.0,188770.0
2020-11-05,3688.0,187202.0
2020-11-04,3677.0,185836.0
2020-11-03,3666.0,184679.0
2020-11-02,3658.0,183418.0
2020-11-01,3655.0,182392.0
2020-10-31,3654.0,181190.0
2020-10-30,3643.0,179639.0
2020-10-29,3636.0,178183.0
2020-10-28,3616.0,176754.0
2020-10-27,3600.0,175409.0
2020-10-26,3581.0,174275.0
2020-10-25,3579.0,173371.0
2020-10-24,3578.0,172372.0
2020-10-23,3539.0,171284.0
2020-10-22,3524.0,170104.0
2020-10-21,3515.0,168772.0
2020-10-20,3485.0,167754.0
2020-10-19,3457.0,166828.0
2020-10-18,3433.0,166138.0
2020-10-17,3422.0,165238.0
2020-10-16,3408.0,164124.0
2020-10-15,3388.0,162941.0
2020-10-14,3381.0,161610.0
2020-10-13,3372.0,160805.0
2020-10-12,3361.0,159570.0
2020-10-11,3358.0,158716.0
2020-10-10,3354.0,157905.0
2020-10-09,3344.0,156649.0
2020-10-08,3328.0,155535.0
2020-10-07,3303.0,153691.0
2020-10-06,3291.0,153182.0
2020-10-05,3276.0,152557.0
2020-10-04,3273.0,151870.0
2020-10-03,3270.0,150803.0
2020-10-02,3250.0,149687.0
2020-10-01,3228.0,148721.0
2020-09-30,3208.0,148271.0
2020-09-29,3187.0,147516.0
2020-09-28,3172.0,146593.0
2020-09-27,3159.0,146144.0
2020-09-26,3144.0,145408.0
2020-09-25,3136.0,144433.0
2020-09-24,3113.0,143492.0
2020-09-23,3089.0,142590.0
2020-09-22,3060.0,142010.0
2020-09-21,3021.0,141138.0
2020-09-20,3015.0,140511.0
2020-09-19,2990.0,139655.0
2020-09-18,2949.0,138702.0
2020-09-17,2920.0,137460.0
2020-09-16,2884.0,136359.0
2020-09-15,2839.0,135514.0
2020-09-14,2743.0,134571.0
2020-09-13,2724.0,133814.0
2020-09-12,2722.0,132940.0
2020-09-11,2711.0,131640.0
2020-09-10,2708.0,130525.0
2020-09-09,2697.0,129289.0
2020-09-08,2686.0,128407.0
2020-09-07,2684.0,127571.0
2020-09-06,2678.0,126926.0
2020-09-05,2677.0,125727.0
2020-09-04,2662.0,124779.0
2020-09-03,2652.0,123668.0
2020-09-02,2641.0,122542.0
2020-09-01,2612.0,121615.0
2020-08-31,2580.0,120594.0
2020-08-30,2569.0,119747.0
2020-08-29,2568.0,118809.0
2020-08-28,2550.0,117592.0
2020-08-27,2515.0,115458.0
2020-08-26,2515.0,115458.0
2020-08-25,2494.0,114635.0
2020-08-24,2471.0,113630.0
2020-08-23,2467.0,112966.0
2020-08-22,2443.0,112072.0
2020-08-21,2436.0,110860.0
2020-08-20,2427.0,109882.0
2020-08-19,2410.0,109019.0
2020-08-18,2396.0,108282.0
2020-08-17,2385.0,107421.0
2020-08-16,2381.0,106687.0
2020-08-15,2381.0,105750.0
2020-08-14,2370.0,104838.0
2020-08-13,2363.0,103622.0
2020-08-12,2352.0,102521.0
2020-08-11,2344.0,101745.0
2020-08-10,2327.0,100749.0
2020-08-09,2326.0,100086.0
2020-08-08,2322.0,99189.0
2020-08-07,2317.0,97882.0
2020-08-06,2299.0,95867.0
2020-08-05,2274.0,95049.0
2020-08-04,2244.0,94251.0
2020-08-03,2218.0,93106.0
2020-08-02,2218.0,91782.0
2020-08-01,2215.0,90801.0
2020-07-31,2174.0,89888.0
2020-07-30,2141.0,88904.0
2020-07-29,2125.0,87993.0
2020-07-28,2095.0,86994.0
2020-07-27,2082.0,86072.0
2020-07-26,2078.0,84567.0
2020-07-25,2075.0,83609.0
2020-07-24,2067.0,82364.0
2020-07-23,2054.0,81237.0
2020-07-22,2051.0,80393.0
2020-07-21,2048.0,79371.0
2020-07-20,2031.0,78375.0
2020-07-19,2027.0,77430.0
2020-07-18,2025.0,76373.0
2020-07-17,2013.0,75433.0
2020-07-16,2007.0,74431.0
2020-07-15,1992.0,73527.0
2020-07-14,1977.0,72443.0
2020-07-13,1968.0,71642.0
2020-07-12,1966.0,70670.0
2020-07-11,1962.0,69782.0
2020-07-10,1958.0,68931.0
2020-07-09,1937.0,67988.0
2020-07-08,1905.0,67375.0
2020-07-07,1881.0,66740.0
2020-07-06,1853.0,66102.0
2020-07-05,1853.0,65748.0
2020-07-04,1849.0,65109.0
2020-07-03,1845.0,64393.0
2020-07-02,1816.0,63735.0
2020-07-01,1786.0,63203.0
2020-06-30,1763.0,62787.0
2020-06-29,1740.0,62189.0
2020-06-28,1732.0,61736.0
2020-06-27,1724.0,61247.0
2020-06-26,1700.0,60570.0
2020-06-25,1675.0,59946.0
2020-06-24,1661.0,59514.0
2020-06-23,1645.0,58994.0
2020-06-22,1620.0,58465.0
2020-06-21,1611.0,57994.0
2020-06-20,1607.0,57443.0
2020-06-19,1602.0,56793.0
2020-06-18,1586.0,56238.0
2020-06-17,1583.0,55775.0
2020-06-16,1570.0,55331.0
2020-06-15,1552.0,54886.0
2020-06-14,1546.0,54506.0
2020-06-13,1541.0,53869.0
2020-06-12,1534.0,53211.0
2020-06-11,1520.0,52647.0
2020-06-10,1514.0,52177.0
2020-06-09,1496.0,51738.0
2020-06-08,1477.0,51251.0
2020-06-07,1472.0,50681.0
2020-06-06,1460.0,49397.0
2020-06-05,1453.0,48532.0
2020-06-04,1445.0,47856.0
2020-06-03,1428.0,46905.0
2020-06-02,1407.0,46239.0
2020-06-01,1392.0,45398.0
2020-05-31,1375.0,44607.0
2020-05-30,1370.0,43611.0
2020-05-29,1358.0,42533.0
2020-05-28,1338.0,41401.0
2020-05-27,1281.0,40249.0
2020-05-26,1236.0,39342.0
2020-05-25,1208.0,37727.0
2020-05-24,1171.0,36244.0
2020-05-23,1159.0,35749.0
2020-05-22,1136.0,34950.0
2020-05-21,1099.0,34137.0
2020-05-20,1074.0,32908.0
2020-05-19,1041.0,32145.0
2020-05-18,1014.0,31140.0
2020-05-17,1009.0,30388.0
2020-05-16,1002.0,29683.0
2020-05-15,977.0,28672.0
2020-05-14,955.0,27813.0
2020-05-13,927.0,26746.0
2020-05-12,891.0,25800.0
2020-05-11,850.0,25070.0
2020-05-10,839.0,24081.0
2020-05-09,827.0,23196.0
2020-05-08,812.0,22342.0
2020-05-07,769.0,21570.0
2020-05-06,713.0,20256.0
2020-05-05,713.0,20256.0
2020-05-04,684.0,19492.0
2020-05-03,660.0,18671.0
2020-05-02,616.0,17731.0
2020-05-01,581.0,16901.0
2020-04-30,552.0,15846.0
2020-04-29,522.0,14961.0
2020-04-28,492.0,14339.0
2020-04-27,458.0,13535.0
2020-04-26,448.0,12970.0
2020-04-25,436.0,12366.0
2020-04-24,410.0,11594.0
2020-04-23,372.0,10998.0
2020-04-22,349.0,10266.0
2020-04-21,324.0,9630.0
2020-04-20,300.0,8990.0
2020-04-19,277.0,8537.0
2020-04-18,258.0,8053.0
2020-04-17,231.0,7491.0
2020-04-16,208.0,6889.0
2020-04-15,195.0,6500.0
2020-04-14,154.0,6171.0
2020-04-13,149.0,5747.0
2020-04-12,141.0,5274.0
2020-04-11,130.0,5077.0
2020-04-10,121.0,4509.0
2020-04-09,109.0,4042.0
2020-04-08,75.0,3645.0
2020-04-07,63.0,3333.0
2020-04-06,54.0,2878.0
2020-04-05,51.0,2637.0
2020-04-04,52.0,2407.0
2020-04-03,46.0,2012.0
2020-04-02,41.0,1706.0
2020-04-01,34.0,1484.0
2020-03-31,27.0,1250.0
2020-03-30,25.0,1020.0
2020-03-29,22.0,890.0
2020-03-28,17.0,739.0
2020-03-27,14.0,604.0
2020-03-26,13.0,460.0
2020-03-25,9.0,391.0
2020-03-24,7.0,290.0
2020-03-23,6.0,254.0
2020-03-22,3.0,219.0
2020-03-21,2.0,152.0
2020-03-20,2.0,114.0
2020-03-19,2.0,94.0
2020-03-18,1.0,77.0
2020-03-17,1.0,67.0
2020-03-16,1.0,51.0
2020-03-15,1.0,45.0
2020-03-14,,30.0
2020-03-13,,30.0
2020-03-12,,17.0
2020-03-11,,9.0
2020-03-10,,8.0
2020-03-09,,3.0
2020-03-08,,2.0
2020-03-07,,0.0
2020-03-06,,0.0
2020-03-05,,0.0
2020-03-04,,
2020-03-03,,
2020-03-02,,
2020-03-01,,
2020-02-29,,
2020-02-28,,
2020-02-27,,
2020-02-26,,
2020-02-25,,
2020-02-24,,
2020-02-23,,
2020-02-22,,
2020-02-21,,
2020-02-20,,
2020-02-19,,
2020-02-18,,
2020-02-17,,
2020-02-16,,
2020-02-15,,
2020-02-14,,
2020-02-13,,
2020-02-12,,
2020-02-11,,
2020-02-10,,
2020-02-09,,
2020-02-08,,
2020-02-07,,
2020-02-06,,
2020-02-05,,
2020-02-04,,
2020-02-03,,
2020-02-02,,
2020-02-01,,
2020-01-31,,
2020-01-30,,
2020-01-29,,
2020-01-28,,
2020-01-27,,
