date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,1,0
2020-02-28,2,0
2020-02-29,2,0
2020-03-01,3,0
2020-03-02,4,0
2020-03-03,8,0
2020-03-04,12,0
2020-03-05,15,0
2020-03-06,25,0
2020-03-07,27,0
2020-03-08,36,0
2020-03-09,84,0
2020-03-10,294,0
2020-03-11,549,0
2020-03-12,755,0
2020-03-13,797,0
2020-03-14,830,0
2020-03-15,867,0
2020-03-16,912,1
2020-03-17,986,1
2020-03-18,1061,4
2020-03-19,1144,4
2020-03-20,1251,6
2020-03-21,1352,9
2020-03-22,1400,13
2020-03-23,1461,13
2020-03-24,1592,24
2020-03-25,1730,32
2020-03-26,1881,34
2020-03-27,2051,41
2020-03-28,2267,52
2020-03-29,2463,65
2020-03-30,2590,72
2020-03-31,2899,77
2020-04-01,3152,90
2020-04-02,3430,104
2020-04-03,3811,123
2020-04-04,4282,139
2020-04-05,4576,161
2020-04-06,4734,179
2020-04-07,5156,187
