date,cases,deaths,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,0.0,0.0,0,0,0,0
2020-01-04,0.0,0.0,0,0,0,0
2020-01-05,0.0,0.0,0,0,0,0
2020-01-06,0.0,0.0,0,0,0,0
2020-01-07,0.0,0.0,0,0,0,0
2020-01-08,0.0,0.0,0,0,0,0
2020-01-09,0.0,0.0,0,0,0,0
2020-01-10,0.0,0.0,0,0,1,0
2020-01-11,0.0,0.0,0,0,0,0
2020-01-12,0.0,0.0,0,0,0,0
2020-01-13,0.0,0.0,0,0,0,0
2020-01-14,0.0,0.0,0,0,0,0
2020-01-15,0.0,0.0,0,0,1,0
2020-01-16,0.0,0.0,0,0,1,0
2020-01-17,0.0,0.0,1,0,1,0
2020-01-18,0.0,0.0,0,0,0,0
2020-01-19,0.0,0.0,0,0,0,0
2020-01-20,0.0,0.0,0,0,0,0
2020-01-21,0.0,0.0,0,0,0,0
2020-01-22,0.0,0.0,1,0,0,0
2020-01-23,0.0,0.0,1,0,0,0
2020-01-24,3.0,0.0,-0.6666666666666666,0,-1.0,0
2020-01-25,3.0,0.0,0,0,1,0
2020-01-26,3.0,0.0,0,0,0,0
2020-01-27,3.0,0.0,0,0,0,0
2020-01-28,3.0,0.0,0,0,0,0
2020-01-29,4.0,0.0,-0.25,0,-0.25,0
2020-01-30,5.0,0.0,-0.2,0,-0.2,0
2020-01-31,6.0,0.0,-0.16666666666666666,0,-0.16666666666666666,0
2020-02-01,6.0,0.0,0.8333333333333334,0,0,1
2020-02-02,6.0,0.0,0,0,0,0
2020-02-03,6.0,0.0,0,0,0.16666666666666666,0
2020-02-04,6.0,0.0,0,0,0,0
2020-02-05,6.0,0.0,0,0,0,0
2020-02-06,6.0,0.0,0,0,0,0
2020-02-07,6.0,0.0,0,0,0,0
2020-02-08,11.0,0.0,-0.45454545454545453,1,-0.45454545454545453,0
2020-02-09,11.0,0.0,0,0,0,0
2020-02-10,11.0,0.0,0.09090909090909091,0,0,0
2020-02-11,11.0,0.0,0,0,0,0
2020-02-12,11.0,0.0,0,0,0.18181818181818182,0
