date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-04,,
2020-01-05,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-11,,
2020-01-12,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-18,,
2020-01-19,,
2020-01-20,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-25,,
2020-01-26,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-01,,
2020-02-02,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-08,,
2020-02-09,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-15,,
2020-02-16,,
2020-02-17,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-22,,
2020-02-23,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-02-29,,
2020-03-01,,
2020-03-02,0.0,
2020-03-03,1.0,
2020-03-04,1.0,
2020-03-05,3.0,
2020-03-06,25.0,
2020-03-07,36.0,
2020-03-08,60.0,
2020-03-09,88.0,
2020-03-10,151.0,
2020-03-11,195.0,
2020-03-12,251.0,
2020-03-13,353.0,
2020-03-14,517.0,
2020-03-15,648.0,3.0
2020-03-16,942.0,7.0
2020-03-17,1374.0,7.0
2020-03-18,2383.0,12.0
2020-03-19,4152.0,12.0
2020-03-20,7102.0,35.0
2020-03-21,10356.0,44.0
2020-03-22,15168.0,114.0
2020-03-23,20875.0,114.0
2020-03-24,25665.0,210.0
2020-03-25,30810.0,285.0
2020-03-26,37258.0,385.0
2020-03-27,44637.0,519.0
2020-03-28,52318.0,728.0
2020-03-29,59513.0,965.0
2020-03-30,66497.0,1218.0
2020-03-31,75795.0,1550.0
2020-04-01,83712.0,1941.0
2020-04-02,92381.0,2373.0
2020-04-03,102863.0,2935.0
2020-04-04,113704.0,3565.0
2020-04-05,122031.0,4159.0
2020-04-06,130689.0,4758.0
2020-04-07,138863.0,5489.0
