date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,14,0
2020-02-06,24,0
2020-02-07,65,0
2020-02-08,68,0
2020-02-09,74,0
2020-02-10,139,0
2020-02-11,139,0
2020-02-12,178,0
2020-02-13,222,0
2020-02-14,222,0
2020-02-15,289,0
2020-02-16,359,0
2020-02-17,458,0
2020-02-18,546,0
2020-02-19,625,0
2020-02-20,625,2
2020-02-21,638,2
2020-02-22,638,2
2020-02-23,695,2
2020-02-24,695,3
2020-02-25,695,4
2020-02-26,699,4
2020-02-27,699,4
2020-02-28,699,5
2020-02-29,699,6
2020-03-01,700,6
2020-03-02,700,6
2020-03-03,700,6
2020-03-04,700,6
2020-03-05,700,6
2020-03-06,700,6
2020-03-07,700,6
2020-03-08,700,7
2020-03-09,700,7
2020-03-10,700,7
2020-03-11,700,7
2020-03-12,700,7
2020-03-13,701,7
2020-03-14,701,7
2020-03-15,716,7
2020-03-16,716,7
2020-03-17,716,7
2020-03-18,716,7
2020-03-19,716,7
2020-03-20,712,8
2020-03-21,712,8
2020-03-22,712,8
2020-03-23,712,8
2020-03-24,712,10
2020-03-25,712,10
2020-03-26,712,10
2020-03-27,712,10
2020-03-28,712,10
2020-03-29,712,10
2020-03-30,712,10
2020-03-31,712,11
2020-04-01,712,11
2020-04-02,712,11
2020-04-03,712,11
2020-04-04,712,11
2020-04-05,712,11
2020-04-06,712,11
2020-04-07,712,11
2020-04-08,712,11
2020-04-09,712,11
