date,cases,deaths
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,53.0,
2020-03-05,53.0,
2020-03-06,60.0,
2020-03-07,69.0,
2020-03-08,88.0,
2020-03-09,114.0,
2020-03-10,133.0,
2020-03-11,157.0,
2020-03-12,202.0,4.0
2020-03-13,202.0,4.0
2020-03-14,252.0,5.0
2020-03-15,293.0,5.0
2020-03-16,335.0,6.0
2020-03-17,483.0,11.0
2020-03-18,611.0,13.0
2020-03-19,924.0,18.0
2020-03-20,1063.0,20.0
2020-03-21,1279.0,24.0
2020-03-22,1536.0,27.0
2020-03-23,1733.0,27.0
2020-03-24,2102.0,40.0
2020-03-25,2355.0,53.0
2020-03-26,3006.0,65.0
2020-03-27,3879.0,78.0
2020-03-28,4643.0,101.0
2020-03-29,5708.0,123.0
2020-03-30,6447.0,133.0
2020-03-31,7482.0,153.0
2020-04-01,8155.0,171.0
2020-04-02,9191.0,203.0
2020-04-03,10701.0,237.0
2020-04-04,12026.0,276.0
2020-04-05,13438.0,319.0
2020-04-06,14336.0,343.0
2020-04-07,15865.0,374.0
2020-04-08,16957.0,442.0
2020-04-09,18309.0,492.0
2020-04-10,19472.0,541.0
2020-04-11,20615.0,609.0
2020-04-12,21794.0,651.0
2020-04-13,22348.0,687.0
2020-04-14,23338.0,758.0
2020-04-15,24424.0,821.0
