date,cases,deaths
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0.0,
2020-01-30,0.0,
2020-01-31,0.0,
2020-02-01,0.0,
2020-02-02,0.0,
2020-02-03,0.0,
2020-02-04,0.0,
2020-02-05,0.0,
2020-02-06,0.0,
2020-02-07,0.0,
2020-02-08,0.0,
2020-02-09,0.0,
2020-02-10,0.0,
2020-02-11,0.0,
2020-02-12,0.0,
2020-02-13,0.0,
2020-02-14,0.0,
2020-02-15,0.0,
2020-02-16,0.0,
2020-02-17,0.0,
2020-02-18,0.0,
2020-02-19,0.0,
2020-02-20,0.0,
2020-02-21,0.0,
2020-02-22,0.0,
2020-02-23,0.0,
2020-02-24,0.0,
2020-02-25,0.0,
2020-02-26,0.0,
2020-02-27,0.0,
2020-02-28,0.0,
2020-02-29,0.0,
2020-03-01,0.0,
2020-03-02,0.0,
2020-03-03,2.0,
2020-03-04,3.0,
2020-03-05,7.0,
2020-03-06,8.0,
2020-03-07,8.0,
2020-03-08,12.0,
2020-03-09,13.0,
2020-03-10,18.0,
2020-03-11,20.0,2.0
2020-03-12,26.0,2.0
2020-03-13,31.0,2.0
2020-03-14,51.0,3.0
2020-03-15,91.0,4.0
2020-03-16,122.0,4.0
2020-03-17,149.0,6.0
2020-03-18,211.0,7.0
2020-03-19,310.0,8.0
2020-03-20,386.0,10.0
2020-03-21,528.0,12.0
2020-03-22,731.0,13.0
2020-03-23,1029.0,14.0
2020-03-24,1205.0,18.0
2020-03-25,1488.0,22.0
2020-03-26,1985.0,28.0
2020-03-27,2520.0,34.0
2020-03-28,3179.0,54.0
2020-03-29,3884.0,56.0
2020-03-30,4760.0,63.0
2020-03-31,5612.0,77.0
2020-04-01,6516.0,87.0
2020-04-02,7548.0,128.0
2020-04-03,8816.0,163.0
2020-04-04,10097.0,191.0
2020-04-05,11245.0,218.0
2020-04-06,12008.0,236.0
2020-04-07,13167.0,296.0
2020-04-08,14173.0,309.0
2020-04-09,15219.0,354.0
2020-04-10,16252.0,390.0
2020-04-11,17340.0,438.0
2020-04-12,18404.0,465.0
2020-04-13,19213.0,483.0
2020-04-14,20135.0,537.0
2020-04-15,20727.0,609.0
