date,cases,deaths,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,0.0,0.0,0,0,1,0
2020-01-04,0.0,0.0,0,0,0,0
2020-01-05,0.0,0.0,0,0,0,0
2020-01-06,0.0,0.0,1,0,0,0
2020-01-07,0.0,0.0,0,0,0,0
2020-01-08,0.0,0.0,0,0,1,0
2020-01-09,0.0,0.0,0,0,1,0
2020-01-10,0.0,0.0,1,0,0,0
2020-01-11,0.0,0.0,0,0,0,0
2020-01-12,0.0,0.0,0,0,1,0
2020-01-13,5.0,0.0,-1.0,0,-0.4,0
2020-01-14,5.0,0.0,0,0,1,0
2020-01-15,5.0,0.0,0.2,0,0,0
2020-01-16,5.0,0.0,0.2,0,0,0
2020-01-17,6.0,0.0,-0.16666666666666666,0,0.6666666666666666,0
2020-01-18,6.0,0.0,0,0,0,0
2020-01-19,6.0,0.0,0.16666666666666666,0,0,0
2020-01-20,6.0,0.0,0.5,0,0,0
2020-01-21,6.0,0.0,1.0,0,1.0,0
2020-01-22,7.0,0.0,-0.14285714285714285,0,-0.14285714285714285,0
2020-01-23,8.0,0.0,-0.125,0,-0.125,0
2020-01-24,8.0,0.0,0.625,0,0,0
2020-01-25,8.0,0.0,0,0,0.875,0
2020-01-26,9.0,0.0,-0.1111111111111111,0,-0.8888888888888888,0
2020-01-27,12.0,0.0,-0.25,0,-0.25,0
2020-01-28,18.0,0.0,0.0,0,0.1111111111111111,0
2020-01-29,18.0,0.0,0,0,0,0
2020-01-30,18.0,0.0,0,0,0,0
2020-01-31,23.0,0.0,-0.21739130434782608,0,-0.21739130434782608,0
2020-02-01,23.0,0.0,0.30434782608695654,0,0.043478260869565216,0
2020-02-02,23.0,0.0,-0.30434782608695654,0,0,0
2020-02-03,23.0,0.0,0,0,0.043478260869565216,0
2020-02-04,29.0,0.0,0.06896551724137931,0,-0.20689655172413793,0
2020-02-05,29.0,0.0,0,0,0,0
2020-02-06,29.0,0.0,0,0,0,0
2020-02-07,29.0,0.0,0,0,0,0
2020-02-08,36.0,0.0,-0.16666666666666666,0,-0.19444444444444445,0
